cmd,conds,short,long,params,dirs,pri,desc
chown, ,c,changes, , ,101,like verbose but report only when a change is made
chown, ,f,quiet, , ,102,suppress most error messages
chown, ,v,verbose, , ,103,output a diagnostic for every file processed
chown, , ,dereference, , ,104,"affect the referent of each symbolic link (this is the default), rather than …"
chown, ,h,no-dereference, , ,105,affect symbolic links instead of any referenced file (useful only on systems …
chown, , ,from, , ,106,change the ownership of each file only if its current owner and/or group matc…
chown, , ,no-preserve-root, , ,107,do not treat '/' specially (the default)
chown, , ,preserve-root, , ,108,fail to operate recursively on '/'
chown, , ,reference, , ,109,use RFILE's ownership rather than specifying values
chown, ,R,recursive, , ,110,operate on files and directories recursively 
chown, , ,help, , ,111,display this help and exit
chown, , ,version, , ,112,output version information and exit
