cmd,conds,short,long,params,dirs,pri,desc
elfedit, , ,input-mach, , ,101,X Item '--input-mach=machine' Set the matching input ELF machine type to mach…
elfedit, , ,output-mach, , ,102,X Item '--output-mach=machine' Change the ELF machine type in the ELF header …
elfedit, , ,input-type, , ,103,X Item '--input-type=type' Set the matching input ELF file type to type
elfedit, , ,output-type, , ,104,X Item '--output-type=type' Change the ELF file type in the ELF header to type
elfedit, , ,input-osabi, , ,105,X Item '--input-osabi=osabi' Set the matching input ELF file OSABI to osabi
elfedit, , ,output-osabi, , ,106,X Item '--output-osabi=osabi' Change the ELF OSABI in the ELF header to osabi
elfedit, , ,input-abiversion, , ,107,X Item '--input-abiversion=version' Set the matching input ELF file ABIVERSIO…
elfedit, , ,output-abiversion, , ,108,X Item '--output-abiversion=version' Change the ELF ABIVERSION in the ELF hea…
elfedit, , ,enable-x86-feature, , ,109,X Item '--enable-x86-feature=feature' Set the feature bit in program property…
elfedit, , ,disable-x86-feature, , ,110,X Item '--disable-x86-feature=feature' Clear the feature bit in program prope…
elfedit, , ,version, , ,111,X Item '--version' . PD Display the version number of elfedit
elfedit, , ,help, , ,112,X Item '--help' . PD Display the command-line options understood by elfedit
