cmd,conds,short,long,params,dirs,pri,desc
file, ,b,brief, , ,101,Do not prepend filenames to output lines
file, ,c,checking-printout, , ,102,Print the parsed form of the magic file
file, ,C,compile, , ,103,Write an output file containing a pre-parsed version of file
file, ,h,no-dereference, , ,104,Do not follow symlinks
file, ,I,mime, , ,105,Output mime type strings instead human readable strings
file, ,i,mime, , ,106,Output mime type strings instead human readable strings
file, ,k,keep-going, , ,107,Don't stop at the first match
file, ,L,dereference, , ,108,Follow symlinks
file, ,n,no-buffer, , ,109,Flush stdout after checking each file
file, ,N,no-pad, , ,110,Don't pad filenames so that they align in the output
file, ,p,preserve-date, , ,111,Attempt to preserve the access time of files analyzed
file, ,r,raw, , ,112,Don't translate unprintable characters to octal
file, ,s,special-files, , ,113,Read block and character device files too
file, ,v,version, , ,114,Print the version of the program and exit
file, ,z,uncompress, , ,115,Try to look inside compressed files
file, , ,help, , ,116,Print a help message and exit
file, ,f,files-from, ,@r,117,Read  the  names of the files to be examined from a file
file, ,F,separator, ,@r,118,Use other string as result field separator instead of :
file, ,m,magic-file, ,@r,119,Alternate list of files containing magic numbers
