cmd,conds,short,long,params,dirs,pri,desc
grub-bios-setup, ,a,allow-floppy, , ,101,make the drive also bootable as floppy (default for fdX devices)
grub-bios-setup, ,b,boot-image, , ,102,use FILE as the boot image [default=boot. img]
grub-bios-setup, ,c,core-image, , ,103,use FILE as the core image [default=core. img]
grub-bios-setup, ,d,directory, , ,104,use GRUB files in the directory DIR [default=//boot/grub]
grub-bios-setup, ,f,force, , ,105,install even if problems are detected
grub-bios-setup, ,m,device-map, , ,106,use FILE as the device map [default=//boot/grub/device. map]
grub-bios-setup, , ,no-rs-codes, , ,107,Do not apply any reed-solomon codes when embedding core. img
grub-bios-setup, ,s,skip-fs-probe, , ,108,do not probe for filesystems in DEVICE
grub-bios-setup, ,v,verbose, , ,109,print verbose messages
grub-bios-setup, ,?,help, , ,110,give this help list
grub-bios-setup, , ,usage, , ,111,give a short usage message
grub-bios-setup, ,V,version, , ,112,print program version
