cmd,conds,short,long,params,dirs,pri,desc
hexdump, ,b,one-byte-octal, , ,101, 
hexdump, ,X,one-byte-hex, , ,102, 
hexdump, ,c,one-byte-char, , ,103, 
hexdump, ,C,canonical, , ,104, 
hexdump, ,d,two-bytes-decimal, , ,105, 
hexdump, ,e,format, , ,106, 
hexdump, ,f,format-file, , ,107, 
hexdump, ,L,color, , ,108, 
hexdump, ,n,length, , ,109, 
hexdump, ,o,two-bytes-octal, , ,110, 
hexdump, ,s,skip, , ,111, 
hexdump, ,v,no-squeezing, , ,112, 
hexdump, ,x,two-bytes-hex, , ,113, 
hexdump, ,h,help, , ,114, 
hexdump, ,V,version, , ,115, 
