cmd,conds,short,long,params,dirs,pri,desc
jest, ,h,help, ,@f,101,Show help
jest, , ,automock, ,@f,102,Automock all files by default
jest, ,b,bail, ,@f,103,Exit the test suite immediately upon the first failing test
jest, , ,browser, ,@f,104,Respect the 'browser' field in package.json when resolving modules
jest, , ,cache, ,@f,105,Whether to use the transform cache
jest, , ,no-cache, ,@f,106,Disable the cache
jest, , ,cacheDirectory, ,@f,107,The directory where Jest should store its  dependency information
jest, , ,ci, ,@f,108,Whether to run Jest in continuous integration (CI) mode
jest, , ,clearMocks, ,@f,109,Automatically clear mock calls and instances every test
jest, , ,collectCoverage, ,@f,110,Alias for --coverage
jest, , ,collectCoverageFrom, ,@f,111,glob pattern matching files that coverage info needs to be collected from
jest, , ,collectCoverageOnlyFrom, ,@f,112,Explicit list of paths coverage will be restricted to
jest, , ,color, ,@f,113,Forces test results output color highlighting
jest, , ,colors, ,@f,114,Alias for --color
jest, ,c,config, , ,115,The path to a jest config file
jest, , ,coverage, ,@f,116,Indicates that test coverage info be collected and reported in the output
jest, , ,coverageDirectory, ,@f,117,The directory where Jest should output its coverage files
jest, , ,coveragePathIgnorePatterns, ,@f,118,Pattern of files to ignore
jest, , ,coverageReporters, ,@f,119,A list of reporter names that Jest uses when writing coverage reports
jest, , ,coverageThreshold, ,@f,120,A JSON used to configure minimum threshold enforcement for coverage results
jest, , ,debug, ,@f,121,Print debugging info about your jest config
jest, , ,env, ,@f,122,The test environment used for all tests
jest, ,e,expand, ,@f,123,Use this flag to show full diffs instead of a patch
jest, , ,findRelatedTests, ,@f,124,Find related tests for a list of source files
jest, , ,forceExit, ,@f,125,Force Jest to exit after all tests have completed running
jest, , ,globals, ,@f,126,A JSON string with map of global variables
jest, , ,haste, ,@f,127,A JSON string with map of variables for the haste module system
jest, , ,json, ,@f,128,Prints the test results in JSON
jest, , ,lastCommit, ,@f,129,Will run all tests affected by file changes in the last commit made
jest, , ,listTests, ,@f,130,Lists all tests Jest will run given the arguments and exits
jest, , ,logHeapUsage, ,@f,131,Logs the heap usage after every test
jest, , ,mapCoverage, ,@f,132,Maps code coverage reports against original source code
jest, ,w,maxWorkers, ,@f,133,Specifies the maximum number of workers
jest, , ,moduleDirectories, ,@f,134,Dir names to be searched recursively up from the requiring module
jest, , ,moduleFileExtensions, ,@f,135,An array of file extensions your modules use
jest, , ,-moduleNameMapper, ,@f,136,A JSON with map from regexps to module names that allow to stub out resources
jest, , ,modulePathIgnorePatterns, ,@f,137,Modules to ignore
jest, , ,modulePaths, ,@f,138,An alternative API to setting the NODE_PATH env variable
jest, , ,noStackTrace, ,@f,139,Disables stack trace in test results output
jest, , ,notify, ,@f,140,Activates notifications for test results
jest, ,o,onlyChanged, ,@f,141,Run tests based on the changed files
jest, , ,outputFile, , ,142,A file where to write test results
jest, , ,preset, , ,143,A preset that is used as a base for Jest
jest, , ,projects, ,@f,144,A list of projects that use Jest to run all tests
jest, , ,reporters, ,@f,145,A list of custom reporters for the test suite
jest, , ,resetMocks, ,@f,146,Automatically reset mock state between every test
jest, , ,resetModules, ,@f,147,Whatever to reset the module registry for every test
jest, , ,resolver, ,@f,148,A JSON string which allows the use of a custom resolver
jest, , ,rootDir, , ,149,The root directory that Jest should scan for tests and modules within
jest, , ,roots, , ,150,Paths to directories that Jest should use to search for files in
jest, ,i,runInBand, ,@f,151,Run all tests serially in the current process
jest, , ,setupFiles, , ,152,The paths to modules to configure the testing environment
jest, , ,setupTestFrameworkScriptFile, , ,153,The path to a module to configure the testing framework
jest, , ,showConfig, ,@f,154,Print your jest config and then exits
jest, , ,silent, ,@f,155,Prevent tests from printing messages through the console
jest, , ,snapshotSerializers, , ,156,Snapshot serializer modules Jest should use for snapshot testing
jest, , ,testEnvironment, ,@f,157,Alias for --env
jest, , ,testMatch, ,@f,158,The glob patterns Jest uses to detect test files
jest, ,t,testNamePattern, ,@f,159,Run only tests with a name that matches the regex pattern
jest, , ,testPathIgnorePatterns, ,@f,160,Paths to skip
jest, , ,testPathPattern, ,@f,161,Regex for test paths
jest, , ,testRegex, ,@f,162,The regexp pattern Jest uses to detect test files
jest, , ,testResultsProcessor, ,@f,163,Allows the use of a custom results processor
jest, , ,testRunner, ,@f,164,Allows to specify a custom test runner
jest, , ,testURL, ,@f,165,This option sets the URL for the jsdom environment
jest, , ,timers, ,@f,166,Setting this value to fake value of timers
jest, , ,transform, ,@f,167,A JSON string which maps from regular expressions to paths to transformers
jest, , ,transformIgnorePatterns, ,@f,168,Regexp patterns matched against all source file paths before transformation
jest, , ,unmockedModulePathPatterns, ,@f,169,a regex pattern of module to unmock
jest, ,u,updateSnapshot, ,@f,170,Use this flag to re-record snapshots
jest, , ,useStderr, ,@f,171,Divert all output to stderr
jest, , ,verbose, ,@f,172,Display individual test results with the test suite hierarchy
jest, ,v,version, ,@f,173,Print the version and exit
jest, , ,watch, ,@f,174,Watch files for changes and rerun tests related to changed files
jest, , ,watchAll, ,@f,175,Watch files for changes and rerun all tests
jest, , ,watchman, ,@f,176,Whether to use watchman for file crawling
jest, , ,no-watchman, ,@f,177,Disable using watchman for file crawling
jest, , ,detectOpenHandles, ,@f,178,Print out open handles preventing Jest from exiting at the end of a test run
