cmd,conds,short,long,params,dirs,pri,desc
lz4, ,z,compress, , ,101,Compress
lz4, ,d,uncompress, , ,102,Decompress
lz4, ,t,test, , ,103,Test the integrity of compressed . lz4 files
lz4, , ,list, , ,104,List information about . lz4 files
lz4, , ,fast, , ,105,Switch to ultra-fast compression levels
lz4, , ,best, , ,106,Set highest compression level.  Same as -12
lz4, , ,threads, , ,107,Use # threads for compression
lz4, , ,favor-decSpeed, , ,108,Generate compressed data optimized for decompression speed
lz4, ,f,force, , ,109,This option has several effects: 
lz4, ,c,to-stdout, , ,110,"Force write to standard output, even if it is the console"
lz4, ,m,multiple, , ,111,Multiple input files.  Compressed file names will be appended a . lz4 suffix
lz4, , ,frame-crc, , ,112,Select frame checksum (default:enabled) 
lz4, , ,no-crc, , ,113,Disable both frame and block checksums 
lz4, , ,content-size, , ,114,Header includes original size (default:not present) 
lz4, , ,sparse, , ,115,"Sparse mode support (default:enabled on file, disabled on stdout) "
lz4, ,v,verbose, , ,116,Verbose mode 
lz4, ,q,quiet, , ,117,"Suppress warnings and real-time statistics; specify twice to suppress errors …"
lz4, ,H,help, , ,118,Display help/long help and exit 
lz4, ,V,version, , ,119,Display Version number and exit 
lz4, ,k,keep, , ,120,Preserve source files (default behavior) 
lz4, , ,rm, , ,121,Delete source files on successful compression or decompression 
