cmd,conds,short,long,params,dirs,pri,desc
lzcat, ,z,compress, , ,101,Compress
lzcat, ,d,uncompress, , ,102,Decompress
lzcat, ,t,test, , ,103,Test the integrity of compressed R files 
lzcat, ,l,list, , ,104,Print information about compressed R files 
lzcat, ,k,keep, , ,105,Don't delete the input files
lzcat, ,f,force, , ,106,This option has several effects: . RS
lzcat, ,c,to-stdout, , ,107,Write the compressed or decompressed data to standard output instead of a file
lzcat, , ,single-stream, , ,108,Decompress only the first  
lzcat, , ,no-sparse, , ,109,Disable creation of sparse files
lzcat, ,S,suffix, , ,110,"When compressing, use  . suf as the suffix for the target file instead of  "
lzcat, , ,files, , ,111,"Read the filenames to process from R file ; if  file is omitted, filenames ar…"
lzcat, , ,files0, , ,112,This is identical to --files[=file] except that each filename must be termina…
lzcat, ,F,format, , ,113,Specify the file  format to compress or decompress: . RS
lzcat, ,C,check, , ,114,Specify the type of the integrity check
lzcat, , ,ignore-check, , ,115,Don't verify the integrity check of the compressed data when decompressing
lzcat, ,e,extreme, , ,116,Use a slower variant of the selected compression preset level . RB ( -0 ' 
lzcat, , ,best, , ,117,"PD These are somewhat misleading aliases for  -0 and  -9 , respectively"
lzcat, , ,block-size, , ,118,When compressing to the  
lzcat, , ,block-list, , ,119,When compressing to the  
lzcat, , ,flush-timeout, , ,120,"When compressing, if more than  timeout milliseconds (a positive integer) has…"
lzcat, , ,memlimit-compress, , ,121,Set a memory usage limit for compression
lzcat, , ,memlimit-decompress, , ,122,Set a memory usage limit for decompression
lzcat, , ,memlimit-mt-decompress, , ,123,Set a memory usage limit for multi-threaded decompression
lzcat, ,M,memory, , ,124,This is equivalent to specifying  --memlimit-compress= limit  --memlimit-deco…
lzcat, , ,no-adjust, , ,125,Display an error and exit if the memory usage limit cannot be met without adj…
lzcat, ,T,threads, , ,126,Specify the number of worker threads to use
lzcat, , ,filters, , ,127,Specify the full filter chain or a preset in a single option
lzcat, , ,filters9, , ,128,Specify up to nine additional filter chains that can be used with  --block-li…
lzcat, , ,filters-help, , ,129,Display a help message describing how to specify presets and custom filter ch…
lzcat, , ,lzma2, , ,130,PD Add LZMA1 or LZMA2 filter to the filter chain
lzcat, , ,riscv, , ,131,PD Add a branch/call/jump (BCJ) filter to the filter chain
lzcat, , ,delta, , ,132,Add the Delta filter to the filter chain
lzcat, ,q,quiet, , ,133,Suppress warnings and notices.  Specify this twice to suppress errors too
lzcat, ,v,verbose, , ,134,Be verbose
lzcat, ,Q,no-warn, , ,135,Don't set the exit status to 2 even if a condition worth a warning was detect…
lzcat, , ,robot, , ,136,Print messages in a machine-parsable format
lzcat, , ,info-memory, , ,137,"Display, in human-readable format, how much physical memory (RAM) and how man…"
lzcat, ,h,help, , ,138,"Display a help message describing the most commonly used options, and exit su…"
lzcat, ,H,long-help, , ,139,"Display a help message describing all features of  xz , and exit successfully"
lzcat, , ,fast, , ,140, 
lzcat, , ,filters3, , ,141,and 2 MiB input o 3 The filter chain specified by
lzcat, , ,filters2, , ,142,and 4 MiB input o 3 The filter chain specified by
lzcat, , ,lzma1, , ,143, 
lzcat, , ,x86, , ,144, 
lzcat, , ,arm, , ,145, 
lzcat, , ,armthumb, , ,146, 
lzcat, , ,arm64, , ,147, 
lzcat, , ,powerpc, , ,148, 
lzcat, , ,ia64, , ,149, 
lzcat, , ,sparc, , ,150, 
lzcat, ,V,version, , ,151,Display the version number of xz and liblzma in human readable format
lzcat, , ,rsyncable, , ,152,"has been implemented, the resulting files won't necessarily be rsyncable unle…"
