cmd,conds,short,long,params,dirs,pri,desc
mpv, , ,alang, , ,101,"Specify a prioritized list of audio languages to use, as IETF language tags"
mpv, , ,slang, , ,102,"Equivalent to --alang, for subtitle tracks. sp This is a string list option"
mpv, , ,vlang, , ,103,"Equivalent to --alang and --slang, for video tracks"
mpv, , ,aid, , ,104,"Select audio track.  auto selects the default, no disables audio"
mpv, , ,sid, , ,105,Display the subtitle stream specified by <ID>
mpv, , ,vid, , ,106,"Select video channel.  auto selects the default, no disables video"
mpv, , ,edition, , ,107,"(Matroska files only) Specify the edition (set of chapters) to use, where 0 i…"
mpv, , ,track-auto-selection, , ,108,Enable the default track auto-selection (default: yes)
mpv, , ,subs-with-matching-audio, , ,109,"When autoselecting a subtitle track, select it even if the selected audio str…"
mpv, , ,subs-match-os-language, , ,110,"When autoselecting a subtitle track, select the track that matches the langua…"
mpv, , ,subs-fallback, , ,111,"When autoselecting a subtitle track, if no tracks match your preferred langua…"
mpv, , ,subs-fallback-forced, , ,112,"When autoselecting a subtitle track, the default value of yes will prefer usi…"
mpv, , ,start, , ,113,Seek to given time position
mpv, , ,end, , ,114,"Seeks to 30 seconds, plays 10 seconds, and exits"
mpv, , ,length, , ,115,"Seeks to 3 minutes and 20 seconds before the end of the file, plays 10 second…"
mpv, , ,rebase-start-time, , ,116,Whether to move the file start time to 00:00:00 (default: yes)
mpv, , ,speed, , ,117,Slow down or speed up playback by the factor given as parameter
mpv, , ,pitch, , ,118,Raise or lower the audio's pitch by the factor given as parameter
mpv, , ,pause, , ,119,Start the player in paused state
mpv, , ,shuffle, , ,120,Play files in random order
mpv, , ,playlist-start, , ,121,Set which file on the internal playlist to start playback with
mpv, , ,playlist, , ,122,Play files according to a playlist file.  Supports some common formats
mpv, , ,chapter-merge-threshold, , ,123,Threshold for merging almost consecutive ordered chapter parts in millisecond…
mpv, , ,chapter-seek-threshold, , ,124,Distance in seconds from the beginning of a chapter within which a backward c…
mpv, , ,hr-seek, , ,125,Select when to use precise seeks that are not limited to keyframes
mpv, , ,hr-seek-demuxer-offset, , ,126,This option exists to work around failures to do precise seeks (as in --hr-se…
mpv, , ,hr-seek-framedrop, , ,127,"Allow the video decoder to drop frames during seek, if these frames are befor…"
mpv, , ,index, , ,128,Controls how to seek in files
mpv, , ,load-unsafe-playlists, , ,129,Load URLs from playlists which are considered unsafe (default: no)
mpv, , ,access-references, , ,130,Follow any references in the file being opened (default: yes)
mpv, , ,loop-playlist, , ,131,Loops playback N times
mpv, , ,loop, , ,132,"Loop a single file N times.  inf means forever, no means normal playback"
mpv, , ,ab-loop-b, , ,133,Set loop points
mpv, , ,ab-loop-count, , ,134,"Run A-B loops only N times, then ignore the A-B loop points (default: inf)"
mpv, , ,ordered-chapters, , ,135,Enable support for Matroska ordered chapters
mpv, , ,ordered-chapters-files, , ,136,"Loads the given file as playlist, and tries to use the files contained in it …"
mpv, , ,chapters-file, , ,137,"Load chapters from this file, instead of using the chapter metadata found in …"
mpv, , ,sstep, , ,138,Skip <sec> seconds after every frame. sp NOTE: NDENT 7. 0 NDENT 3
mpv, , ,stop-playback-on-init-failure, , ,139,Stop playback if either audio or video fails to initialize (default: no)
mpv, ,>,play-direction, , ,140,Control the playback direction (default: forward)
mpv, , ,audio-reversal-buffer, , ,141,For backward decoding
mpv, , ,audio-backward-overlap, , ,142,Number of overlapping keyframe ranges to use for backward decoding (default: …
mpv, , ,audio-backward-batch, , ,143,Number of keyframe ranges to decode at once when backward decoding (default: …
mpv, , ,demuxer-backward-playback-step, , ,144,Number of seconds the demuxer should seek back to get new packets during back…
mpv, ,V,version, , ,145,Print version string and exit
mpv, , ,no-config, , ,146,Do not load default configuration or any user files
mpv, , ,list-options, , ,147,Prints all available options
mpv, , ,list-properties, , ,148,Print a list of the available properties
mpv, , ,list-protocols, , ,149,Print a list of the supported protocols
mpv, , ,log-file, , ,150,"Opens the given path for writing, and print log messages to it"
mpv, , ,config-dir, , ,151,Force a different configuration directory
mpv, , ,dump-stats, , ,152,Write certain statistics to the given file.  The file is truncated on opening
mpv, , ,idle, , ,153,Makes mpv wait idly instead of quitting when there is no file to play
mpv, , ,include, , ,154,Specify configuration file to be parsed after the default ones
mpv, , ,load-scripts, , ,155,"If set to no, don't auto-load scripts from the scripts configuration subdirec…"
mpv, , ,scripts, , ,156,Load a Lua script
mpv, , ,script-opts, , ,157,Set options for scripts.  A script can query an option by key
mpv, , ,merge-files, , ,158,"Pretend that all files passed to mpv are concatenated into a single, big file"
mpv, , ,profile, , ,159,"Use the given profile(s), --profile=help displays a list of the defined profi…"
mpv, , ,reset-on-next-file, , ,160,"Normally, mpv will try to keep all settings when playing the next file on the…"
mpv, , ,show-profile, , ,161,Show the description and content of a profile
mpv, , ,use-filedir-conf, , ,162,Look for a file-specific configuration file in the same directory as the file…
mpv, , ,ytdl, , ,163,Enable the youtube-dl hook-script
mpv, , ,ytdl-format, , ,164,Video format/quality that is directly passed to youtube-dl
mpv, , ,ytdl-raw-options, , ,165,Pass arbitrary options to youtube-dl
mpv, , ,js-memory-report, , ,166,Enable memory reporting for javascript scripts in the stats overlay
mpv, , ,load-stats-overlay, , ,167,Enable the builtin script that shows useful playback information on a key bin…
mpv, , ,load-osd-console, , ,168,Enable the built-in script that shows a console on a key binding and lets you…
mpv, , ,load-auto-profiles, , ,169,Enable the builtin script that does auto profiles (default: auto)
mpv, , ,load-select, , ,170,Enable the builtin script that lets you select from lists of items (default: …
mpv, , ,player-operation-mode, , ,171,"For enabling 'pseudo GUI mode', which means that the defaults for some option…"
mpv, , ,save-position-on-quit, , ,172,Always save the current playback position on quit
mpv, , ,watch-later-dir, , ,173,The directory in which to store the 'watch later' temporary files
