cmd,conds,short,long,params,dirs,pri,desc
pandoc, ,p,preserve-tabs, , ,101, 
pandoc, , ,file-scope, , ,102, 
pandoc, ,s,standalone, , ,103, 
pandoc, , ,strip-comments, , ,104, 
pandoc, , ,table-of-contents, , ,105, 
pandoc, , ,no-highlight, , ,106, 
pandoc, , ,self-contained, , ,107, 
pandoc, , ,html-q-tags, , ,108, 
pandoc, , ,ascii, , ,109, 
pandoc, , ,reference-links, , ,110, 
pandoc, , ,atx-headers, , ,111, 
pandoc, ,N,number-sections, , ,112, 
pandoc, , ,listings, , ,113, 
pandoc, ,i,incremental, , ,114, 
pandoc, , ,section-divs, , ,115, 
pandoc, , ,biblatex, , ,116, 
pandoc, , ,dump-args, , ,117, 
pandoc, , ,ignore-args, , ,118, 
pandoc, , ,verbose, , ,119, 
pandoc, , ,quiet, , ,120, 
pandoc, , ,fail-if-warnings, , ,121, 
pandoc, , ,bash-completion, , ,122, 
pandoc, , ,list-input-formats, , ,123, 
pandoc, , ,list-output-formats, , ,124, 
pandoc, , ,list-extensions, , ,125, 
pandoc, , ,list-highlight-languages, , ,126, 
pandoc, , ,list-highlight-styles, , ,127, 
pandoc, ,v,version, , ,128, 
pandoc, ,h,help, , ,129, 
pandoc, , ,katex, ,@f @r,130, 
pandoc, ,m,latexmathml, ,@f @r,131, 
pandoc, , ,gladtex, ,@f @r,132, 
pandoc, ,c,css, ,@f @r,133, 
pandoc, ,r,read,$informats,@f @r,134, 
pandoc, ,w,write,$outformats,@f @r,135, 
pandoc, ,D,print-default-template,$outformats,@f @r,136, 
pandoc, , ,data-dir, ,@D @f @r,137, 
pandoc, , ,extract-media, ,@D @f @r,138, 
pandoc, ,o,output, ,@r,139, 
pandoc, ,F,filter, ,@r,140, 
pandoc, , ,template, ,@r,141, 
pandoc, , ,syntax-definition, ,@r,142, 
pandoc, ,H,include-in-header, ,@r,143, 
pandoc, ,B,include-before-body, ,@r,144, 
pandoc, ,A,include-after-body, ,@r,145, 
pandoc, , ,abbreviations, ,@r,146, 
pandoc, , ,log, ,@r,147, 
pandoc, , ,epub-cover-image, ,@r,148, 
pandoc, , ,epub-metadata, ,@r,149, 
pandoc, , ,epub-embed-font, ,@r,150, 
pandoc, , ,citation-abbreviations, ,@r,151, 
pandoc, , ,print-highlight-style, ,@f @k @r,152, 
pandoc, , ,highlight_style, ,@f @k @r,153, 
pandoc, , ,csl, ,@f @k @r,154, 
pandoc, , ,reference-file, ,@f @k @r,155, 
pandoc, , ,bibliography, ,@f @k @r,156, 
pandoc, , ,lua-filter, ,@f @k @r,157, 
pandoc, ,F,filter, ,@r,158, 
pandoc, , ,template, ,@r,159, 
pandoc, , ,lua-filter, ,@f @r,160, 
pandoc, , ,indented-code-classes, ,@f @r,161, 
pandoc, ,M,metadata, ,@f @r,162, 
pandoc, ,V,variable, ,@f @r,163, 
pandoc, , ,dpi, ,@f @r,164, 
pandoc, , ,columns, ,@f @r,165, 
pandoc, , ,resource-path, ,@r,166, 
pandoc, , ,request-header, ,@f @r,167, 
pandoc, , ,number-offset, ,@f @r,168, 
pandoc, , ,id-prefix, ,@f @r,169, 
pandoc, ,T,title-prefix, ,@f @r,170, 
pandoc, , ,epub-subdirectory, ,@f @r,171, 
pandoc, , ,pdf-engine-opt, ,@f @r,172, 
pandoc, , ,default-image-extension,jpg png pdf svg gif,@f @r,173, 
pandoc, , ,base-header-level,1 2 3 4 5,@f @r,174, 
pandoc, , ,epub-chapter-level,1 2 3 4 5 6,@f @r,175, 
pandoc, , ,tab-stop,1 2 3 4 5 6 7 8,@f @r,176, 
pandoc, , ,track-changes,accept reject all,@f @r,177, 
pandoc, , ,print-default-data-file,reference.odt reference.docx,@f @r,178, 
pandoc, , ,highlight-style,$highlight_styles,@f @r,179, 
pandoc, , ,eol,crlf lf native,@f @r,180, 
pandoc, , ,wrap,auto none preserve,@f @r,181, 
pandoc, , ,reference-location,block section document,@f @r,182, 
pandoc, , ,top-level-division,default section chapter part,@f @r,183, 
pandoc, , ,email-obfuscation,none javascript references,@f @r,184, 
pandoc, , ,pdf-engine,$pdfengines,@f @r,185, 
