cmd,conds,short,long,params,dirs,pri,desc
prlimit, , ,noheadings, , ,101, 
prlimit, ,o,output, , ,102, 
prlimit, ,p,pid, , ,103, 
prlimit, , ,raw, , ,104, 
prlimit, , ,verbose, , ,105, 
prlimit, ,h,help, , ,106, 
prlimit, ,V,version, , ,107, 
prlimit, ,c,core, , ,108, 
prlimit, ,d,data, , ,109, 
prlimit, ,e,nice, , ,110, 
prlimit, ,f,fsize, , ,111, 
prlimit, ,i,sigpending, , ,112, 
prlimit, ,l,memlock, , ,113, 
prlimit, ,m,rss, , ,114, 
prlimit, ,n,nofile, , ,115, 
prlimit, ,q,msgqueue, , ,116, 
prlimit, ,r,rtprio, , ,117, 
prlimit, ,s,stack, , ,118, 
prlimit, ,t,cpu, , ,119, 
prlimit, ,u,nproc, , ,120, 
prlimit, ,v,as, , ,121, 
prlimit, ,x,locks, , ,122, 
prlimit, ,y,rttime, , ,123, 
