cmd,conds,short,long,params,dirs,pri,desc
rcp, ,4,ipv4, , ,101,use only IPv4
rcp, ,6,ipv6, , ,102,use only IPv6
rcp, ,d,target-directory, , ,103,copy all SOURCE arguments into DIRECTORY
rcp, ,f,from, , ,104,copying from remote host (server use only)
rcp, ,p,preserve, , ,105,attempt to preserve (duplicate) in its copies the modification times and mode…
rcp, ,r,recursive, , ,106,"if any of the source files are directories, copies each subtree rooted at tha…"
rcp, ,t,to, , ,107,copying to remote host (server use only)
rcp, ,?,help, , ,108,give this help list
rcp, , ,usage, , ,109,give a short usage message
rcp, ,V,version, , ,110,print program version
