cmd,conds,short,long,params,dirs,pri,desc
sfdisk, ,A,activate, , ,101, 
sfdisk, , ,backup-pt-sectors, , ,102, 
sfdisk, , ,delete, , ,103, 
sfdisk, ,d,dump, , ,104, 
sfdisk, ,g,show-geometry, , ,105, 
sfdisk, ,J,json, , ,106, 
sfdisk, ,l,list, , ,107, 
sfdisk, ,F,list-free, , ,108, 
sfdisk, , ,part-attrs, , ,109, 
sfdisk, , ,part-label, , ,110, 
sfdisk, , ,part-type, , ,111, 
sfdisk, , ,part-uuid, , ,112, 
sfdisk, , ,disk-id, , ,113, 
sfdisk, ,r,reorder, , ,114, 
sfdisk, ,s,show-size, , ,115, 
sfdisk, ,T,list-types, , ,116, 
sfdisk, ,V,verify, , ,117, 
sfdisk, , ,relocate, , ,118, 
sfdisk, ,a,append, , ,119, 
sfdisk, ,b,backup, , ,120, 
sfdisk, , ,color, , ,121, 
sfdisk, ,f,force, , ,122, 
sfdisk, , ,Linux, , ,123, 
sfdisk, , ,lock, , ,124, 
sfdisk, ,n,no-act, , ,125, 
sfdisk, , ,no-reread, , ,126, 
sfdisk, , ,no-tell-kernel, , ,127, 
sfdisk, ,O,backup-file, , ,128, 
sfdisk, , ,move-data, , ,129, 
sfdisk, , ,move-use-fsync, , ,130, 
sfdisk, ,o,output, , ,131, 
sfdisk, ,q,quiet, , ,132, 
sfdisk, ,u,unit, , ,133, 
sfdisk, ,X,label, , ,134, 
sfdisk, ,Y,label-nested, , ,135, 
sfdisk, ,w,wipe, , ,136, 
sfdisk, ,W,wipe-partitions, , ,137, 
sfdisk, ,v,version, , ,138, 
sfdisk, ,h,help, , ,139, 
