cmd,conds,short,long,params,dirs,pri,desc
xz, ,z,compress, , ,101,Compress
xz, ,d,uncompress, , ,102,Decompress
xz, ,t,test, , ,103,Test the integrity of compressed R files 
xz, ,l,list, , ,104,Print information about compressed R files 
xz, ,k,keep, , ,105,Don't delete the input files
xz, ,f,force, , ,106,This option has several effects: . RS
xz, ,c,to-stdout, , ,107,Write the compressed or decompressed data to standard output instead of a file
xz, , ,single-stream, , ,108,Decompress only the first  
xz, , ,no-sparse, , ,109,Disable creation of sparse files
xz, ,S,suffix, , ,110,"When compressing, use  . suf as the suffix for the target file instead of  "
xz, , ,files, , ,111,"Read the filenames to process from R file ; if  file is omitted, filenames ar…"
xz, , ,files0, , ,112,This is identical to --files[=file] except that each filename must be termina…
xz, ,F,format, , ,113,Specify the file  format to compress or decompress: . RS
xz, ,C,check, , ,114,Specify the type of the integrity check
xz, , ,ignore-check, , ,115,Don't verify the integrity check of the compressed data when decompressing
xz, ,e,extreme, , ,116,Use a slower variant of the selected compression preset level . RB ( -0 ' 
xz, , ,best, , ,117,"PD These are somewhat misleading aliases for  -0 and  -9 , respectively"
xz, , ,block-size, , ,118,When compressing to the  
xz, , ,block-list, , ,119,When compressing to the  
xz, , ,flush-timeout, , ,120,"When compressing, if more than  timeout milliseconds (a positive integer) has…"
xz, , ,memlimit-compress, , ,121,Set a memory usage limit for compression
xz, , ,memlimit-decompress, , ,122,Set a memory usage limit for decompression
xz, , ,memlimit-mt-decompress, , ,123,Set a memory usage limit for multi-threaded decompression
xz, ,M,memory, , ,124,This is equivalent to specifying  --memlimit-compress= limit  --memlimit-deco…
xz, , ,no-adjust, , ,125,Display an error and exit if the memory usage limit cannot be met without adj…
xz, ,T,threads, , ,126,Specify the number of worker threads to use
xz, , ,filters, , ,127,Specify the full filter chain or a preset in a single option
xz, , ,filters9, , ,128,Specify up to nine additional filter chains that can be used with  --block-li…
xz, , ,filters-help, , ,129,Display a help message describing how to specify presets and custom filter ch…
xz, , ,lzma2, , ,130,PD Add LZMA1 or LZMA2 filter to the filter chain
xz, , ,riscv, , ,131,PD Add a branch/call/jump (BCJ) filter to the filter chain
xz, , ,delta, , ,132,Add the Delta filter to the filter chain
xz, ,q,quiet, , ,133,Suppress warnings and notices.  Specify this twice to suppress errors too
xz, ,v,verbose, , ,134,Be verbose
xz, ,Q,no-warn, , ,135,Don't set the exit status to 2 even if a condition worth a warning was detect…
xz, , ,robot, , ,136,Print messages in a machine-parsable format
xz, , ,info-memory, , ,137,"Display, in human-readable format, how much physical memory (RAM) and how man…"
xz, ,h,help, , ,138,"Display a help message describing the most commonly used options, and exit su…"
xz, ,H,long-help, , ,139,"Display a help message describing all features of  xz , and exit successfully"
xz, , ,fast, , ,140, 
xz, , ,filters3, , ,141,and 2 MiB input o 3 The filter chain specified by
xz, , ,filters2, , ,142,and 4 MiB input o 3 The filter chain specified by
xz, , ,lzma1, , ,143, 
xz, , ,x86, , ,144, 
xz, , ,arm, , ,145, 
xz, , ,armthumb, , ,146, 
xz, , ,arm64, , ,147, 
xz, , ,powerpc, , ,148, 
xz, , ,ia64, , ,149, 
xz, , ,sparc, , ,150, 
xz, ,V,version, , ,151,Display the version number of xz and liblzma in human readable format
xz, , ,rsyncable, , ,152,"has been implemented, the resulting files won't necessarily be rsyncable unle…"
