cmd,conds,short,long,params,dirs,pri,desc
alsa-info.sh, , ,upload, , ,101,Upload contents to the server (www. alsa-project. org or pastebin. ca)
alsa-info.sh, , ,no-upload, , ,102,Do not upload contents to the remote server
alsa-info.sh, , ,stdout, , ,103,Print information to standard output
alsa-info.sh, , ,output, , ,104,Specify file for output in no-upload mode
alsa-info.sh, , ,debug, , ,105,"Run utility as normal, but will not delete file (usually /tmp/alsa-info. txt)"
alsa-info.sh, , ,with-aplay, , ,106,Includes output from aplay -l
alsa-info.sh, , ,with-amixer, , ,107,Includes output from amixer
alsa-info.sh, , ,with-alsactl, , ,108,Includes output from alsactl
alsa-info.sh, , ,with-configs, , ,109,Includes output from ~/. asoundrc and /etc/asound. conf if they exist
alsa-info.sh, , ,update, , ,110,Check server for updates
alsa-info.sh, , ,about, , ,111,Print information about authors
