cmd,conds,short,long,params,dirs,pri,desc
ant,, , , ,@f @r,101,
ant,, ,h, ,@f,102,print help message and ant help
ant,, ,noconfig, ,@f,103,suppress sourcing of configuration files
ant,, ,usejikes, ,@f,104,enable use of jikes by default
ant,, ,execdebug, ,@f,105,print ant exec line generated by this launch script
ant,,h, , ,@f,106,print help message
ant,,p, , ,@f,107,print project help information
ant,, , , ,@f,108,print the version information
ant,,q, , ,@f,110,be extra quiet
ant,,S, , ,@f,111,print nothing but task outputs and build failures
ant,,v, , ,@f,112,be extra verbose
ant,,d, , ,@f,113,print debugging information
ant,,e, , ,@f,114,produce logging information without adornments
ant,,D, , ,@f,116,use value for given property like -D<property>=<value>
ant,,k, , ,@f,117,execute all targets that do not depend on failed target(s)
ant,, , , ,@r,121,specifies a path to search for jars and classes
ant,,l, , ,@r,122,use given file for log
ant,,f, , ,@r,125,use given buildfile
ant,,s, , ,@r,128,search for buildfile towards the root and use it
