cmd,conds,short,long,params,dirs,pri,desc
arptables-nft, ,t,table, , ,101, 
arptables-nft, ,A,append, , ,102,Append a rule to the end of the selected chain
arptables-nft, ,D,delete, , ,103,Delete the specified rule from the selected chain
arptables-nft, ,I,insert, , ,104,Insert the specified rule into the selected chain at the specified rule number
arptables-nft, ,R,replace, , ,105,Replaces the specified rule into the selected chain at the specified rule num…
arptables-nft, ,P,policy, , ,106,Set the policy for the chain to the given target
arptables-nft, ,F,flush, , ,107,Flush the selected chain
arptables-nft, , ,zero, , ,108,Set the counters of the selected chain to zero
arptables-nft, , ,list, , ,109,List all rules in the selected chain
arptables-nft, ,N,new-chain, , ,110,Create a new user-defined chain with the given name
arptables-nft, ,X,delete-chain, , ,111,Delete the specified user-defined chain
arptables-nft, ,E,rename-chain, , ,112,Rename the specified chain to a new name
arptables-nft, ,V,version, , ,113,Show the version of the arptables userspace program
arptables-nft, ,h,help, , ,114,Give a brief description of the command syntax
arptables-nft, ,j,jump, , ,115,The target of the rule
arptables-nft, ,c,set-counters, , ,116,This enables the administrator to initialize the packet and byte counters of …
arptables-nft, ,s,source-ip, , ,117,The Source IP specification
arptables-nft, ,d,destination-ip, , ,118,The Destination IP specification
arptables-nft, , ,source-mac, , ,119,The source mac address
arptables-nft, , ,destination-mac, , ,120,The destination mac address
arptables-nft, ,i,in-interface, , ,121,The interface via which a frame is received (for the INPUT chain).  The flag
arptables-nft, , ,in-if, , ,122,is an alias for this option
arptables-nft, ,o,out-interface, , ,123,The interface via which a frame is going to be sent (for the OUTPUT chain)
arptables-nft, , ,out-if, , ,124,is an alias for this option
arptables-nft, ,l,h-length, , ,125,The hardware length (nr of bytes)
arptables-nft, , ,opcode, , ,126,The operation code (2 bytes)
arptables-nft, , ,h-type, , ,127,"The hardware type (2 bytes, hexadecimal)"
arptables-nft, , ,proto-type, , ,128,The protocol type (2 bytes).  Available values are: 0x800 = IPv4 
arptables-nft, , ,mangle-ip-s, , ,129,Mangles Source IP Address to given value
arptables-nft, , ,mangle-ip-d, , ,130,Mangles Destination IP Address to given value
arptables-nft, , ,mangle-mac-s, , ,131,Mangles Source MAC Address to given value
arptables-nft, , ,mangle-mac-d, , ,132,Mangles Destination MAC Address to given value
arptables-nft, , ,mangle-target, , ,133,"Target of ARP mangle operation  ( DROP ,  CONTINUE  or  ACCEPT  -- default is…"
arptables-nft, , ,set-class, , ,134, 
arptables-nft, , ,set-mark, , ,135,Set the mark value
arptables-nft, , ,and-mark, , ,136,Binary AND the mark with bits
arptables-nft, , ,or-mark, , ,137,Binary OR the mark with bits
