cmd,conds,short,long,params,dirs,pri,desc
blkid, ,c,cache-file, , ,101, 
blkid, ,d,no-encoding, , ,102, 
blkid, ,D,no-part-details, , ,103, 
blkid, ,g,garbage-collect, , ,104, 
blkid, ,H,hint, , ,105, 
blkid, ,i,info, , ,106, 
blkid, ,k,list-filesystems, , ,107, 
blkid, ,l,list-one, , ,108, 
blkid, ,L,label, , ,109, 
blkid, ,n,match-types, , ,110, 
blkid, ,o,output, , ,111, 
blkid, ,O,offset, , ,112, 
blkid, ,p,probe, , ,113, 
blkid, ,s,match-tag, , ,114, 
blkid, ,S,size, , ,115, 
blkid, ,t,match-token, , ,116, 
blkid, ,u,usages, , ,117, 
blkid, ,U,uuid, , ,118, 
blkid, ,h,help, , ,119, 
blkid, ,V,version, , ,120, 
