cmd,conds,short,long,params,dirs,pri,desc
btrfs, , ,help, ,@f,101,Display help information

btrfs, , , ,receive,@f,102,Receive subvolumes from a stream
btrfs, , , ,help,@f,103,Display help information
btrfs, , , ,version,@f,104,Display btrfs-progs version
btrfs, , , ,subvolume,@f,105,manage subvolumes: create, delete, list, etc
btrfs, , , ,filesystem,@f,106,overall filesystem tasks and information
btrfs, , , ,balance,@f,107,balance data across devices, or change block groups using filters
btrfs, , , ,device,@f,108,manage and query devices in the filesystem
btrfs, , , ,scrub,@f,109,verify checksums of data and metadata
btrfs, , , ,rescue,@f,110,toolbox for specific rescue operations
btrfs, , , ,inspect-internal,@f,111,query various internal information
btrfs, , , ,property,@f,112,modify properties of filesystem objects
btrfs, , , ,quota,@f,113,manage filesystem quota settings
btrfs, , , ,qgroup,@f,114,manage quota groups
btrfs, , , ,replace,@f,115,replace a device in the filesystem
btrfs,subvolume create,p, , ,@f,116,Create any missing parent directories
btrfs,subvolume delete,c,commit-after, ,@f,117,Wait for transaction commit at the end of the operation
btrfs,subvolume delete,C,commit-each, ,@f,118,Wait for transaction commit after deleting each subvolume
btrfs,subvolume delete,R,recursive, ,@f,119,Delete subvolumes beneath each subvolume recursively
btrfs,subvolume delete,v,verbose, ,@f,120,Verbose output of operations
btrfs,subvolume list,o, , ,@f,121,Print only subvolumes below specified path
btrfs,subvolume list,a, , ,@f,122,Print all the subvolumes and absolute and relative path
btrfs,subvolume list,p, , ,@f,123,Print parent ID
btrfs,subvolume list,c, , ,@f,124,Print the ogeneration of the subvolume
btrfs,subvolume list,g, , ,@f,125,Print the generation of the subvolume
btrfs,subvolume list,q, , ,@f,126,Print the parent uuid of the snapshots
btrfs,subvolume list,R, , ,@f,127,Print the uuid of the received snapshots
btrfs,subvolume list,s, , ,@f,128,List only snapshots
btrfs,subvolume list,d, , ,@f,129,List deleted subvolumes that are not yet cleaned
btrfs,subvolume list,t, , ,@f,130,Print the result as a table
btrfs,subvolume list,G, , ,@f @r,131,Filter the subvolumes by generation
btrfs,subvolume list,C, , ,@f @r,132,Filter the subvolumes by ogeneration
btrfs,subvolume list, ,sort,{gen,ogen,133,path},@f,198,List the subvolume in order
btrfs,subvolume snapshot,r, , ,@f,134,Create a readonly snapshot
btrfs,subvolume show,r,rootid, ,@f,135,Show rootid of the subvolume
btrfs,subvolume show,u,uuid, ,@f,136,Show uuid of the subvolume
btrfs,subvolume show,b,raw, ,@f,137,Show raw numbers in bytes
btrfs,subvolume show,h,human-readable, ,@f,138,Show human friendly numbers, base 1024
btrfs,subvolume show,H, , ,@f,139,Show human friendly numbers, base 1000
btrfs,subvolume show,k,kbytes, ,@f,140,Show sizes in KiB, or kB with --si
btrfs,subvolume show,m,mbytes, ,@f,141,Show sizes in MiB, or MB with --si
btrfs,subvolume show,g,gbytes, ,@f,142,Show sizes in GiB, or GB with --si
btrfs,subvolume show,t,tbytes, ,@f,143,Show sizes in TiB, or TB with --si
btrfs,subvolume sync,s, , ,@f,144,Sleep NUMBER seconds between checks
btrfs,filesystem df,b,raw, ,@f,145,Show raw numbers in bytes
btrfs,filesystem df,h,human-readable, ,@f,146,Show human friendly numbers, base 1024
btrfs,filesystem df,H, , ,@f,147,Show human friendly numbers, base 1000
btrfs,filesystem df,k,kbytes, ,@f,148,Show sizes in KiB, or kB with --si
btrfs,filesystem df,m,mbytes, ,@f,149,Show sizes in MiB, or MB with --si
btrfs,filesystem df,g,gbytes, ,@f,150,Show sizes in GiB, or GB with --si
btrfs,filesystem df,t,tbytes, ,@f,151,Show sizes in TiB, or TB with --si
btrfs,filesystem du,s,summarize, ,@f,152,Display only a total for each argument
btrfs,filesystem du, ,raw, ,@f,153,Show raw numbers in bytes
btrfs,filesystem du, ,human-readable, ,@f,154,Show human friendly numbers, base 1024
btrfs,filesystem du, ,kbytes, ,@f,155,Show sizes in KiB, or kB with --si
btrfs,filesystem du, ,mbytes, ,@f,156,Show sizes in MiB, or MB with --si
btrfs,filesystem du, ,gbytes, ,@f,157,Show sizes in GiB, or GB with --si
btrfs,filesystem du, ,tbytes, ,@f,158,Show sizes in TiB, or TB with --si
btrfs,filesystem show,d,all-devices, ,@f,159,Show only disks under /dev containing btrfs filesystem
btrfs,filesystem show,m,mounted, ,@f,160,Show only mounted btrfs
btrfs,filesystem show, ,raw, ,@f,161,Show raw numbers in bytes
btrfs,filesystem show, ,human-readable, ,@f,162,Show human friendly numbers, base 1024
btrfs,filesystem show, ,kbytes, ,@f,163,Show sizes in KiB, or kB with --si
btrfs,filesystem show, ,mbytes, ,@f,164,Show sizes in MiB, or MB with --si
btrfs,filesystem show, ,gbytes, ,@f,165,Show sizes in GiB, or GB with --si
btrfs,filesystem show, ,tbytes, ,@f,166,Show sizes in TiB, or TB with --si
btrfs,filesystem defragment,v, , ,@f,167,Be verbose
btrfs,filesystem defragment,r, , ,@f,168,Defragment files recursively
btrfs,filesystem defragment,c, , ,@f,169,Compress the file while defragmenting
btrfs,filesystem defragment,f, , ,@f,170,Flush data to disk immediately after defragmenting
btrfs,filesystem defragment,s, , ,@f @r,171,Defragment only from NUMBER byte onward
btrfs,filesystem defragment,l, , ,@f @r,172,Defragment only up to LEN bytes
btrfs,filesystem defragment,t, , ,@f @r,173,Target extent SIZE hint
btrfs,filesystem defragment, ,step, ,@f @r,174,Defragment in steps of SIZE
btrfs,filesystem defragment,L,level, ,@f @r,175,Specify compression levels
btrfs,filesystem usage,b,raw, ,@f,176,Show raw numbers in bytes
btrfs,filesystem usage,h,human-readable, ,@f,177,Show human friendly numbers, base 1024
btrfs,filesystem usage,H, , ,@f,178,Show human friendly numbers, base 1000
btrfs,filesystem usage,k,kbytes, ,@f,179,Show sizes in KiB, or kB with --si
btrfs,filesystem usage,m,mbytes, ,@f,180,Show sizes in MiB, or MB with --si
btrfs,filesystem usage,g,gbytes, ,@f,181,Show sizes in GiB, or GB with --si
btrfs,filesystem usage,t,tbytes, ,@f,182,Show sizes in TiB, or TB with --si
btrfs,filesystem usage,T, , ,@f,183,Show data in tabular format
btrfs,filesystem mkswapfile,s,size, ,@f @r,184,Swapfile size
btrfs,filesystem mkswapfile,U,uuid, ,@f @r,185,UUID for the swapfile
btrfs,filesystem resize, ,enqueue, ,@f,186,Wait for other exclusive operations
btrfs,balance start,d, , ,@f,187,Act on data chunks with FILTERS
btrfs,balance start,m, , ,@f,188,Act on metadata chunks with FILTERS
btrfs,balance start,v, , ,@f,189,Be verbose
btrfs,balance start,f, , ,@f,190,Force a reduction of metadata integrity
btrfs,balance start, ,full-balance, ,@f,191,Do not print warning and do not delay start
btrfs,balance start, ,bg, ,@f,192,Run the balance as a background process
