cmd,conds,short,long,params,dirs,pri,desc
cd-info, ,a,access-mode, , ,101,Set CD access method
cd-info, ,d,debug, , ,102,Set debugging to LEVEL
cd-info, ,T,no-tracks, , ,103,Don't show track information
cd-info, ,A,no-analyze, , ,104,Don't show filesystem analysis
cd-info, , ,no-cddb, , ,105,Does nothing since this program is not
cd-info, ,P,cddb-port, , ,106,"CDDB-enabled . HP -H, --cddb-http . HP --cddb-server=\\,STRING\\/ "
cd-info, , ,no-device-info, , ,107,"Don't show device info, just CD info"
cd-info, , ,no-disc-mode, , ,108,Don't show disc-mode info
cd-info, , ,dvd, , ,109,Attempt to give DVD information if a DVD is found
cd-info, ,v,no-vcd, , ,110,"Don't look up Video CD information - for this build, this is always set"
cd-info, ,I,no-ioctl, , ,111,Don't show ioctl() information
cd-info, ,b,bin-file, , ,112,set 'bin' CD-ROM disk image file as source
cd-info, ,c,cue-file, , ,113,set 'cue' CD-ROM disk image file as source
cd-info, ,N,nrg-file, , ,114,set Nero CD-ROM disk image file as source
cd-info, ,t,toc-file, , ,115,set cdrdao CD-ROM disk image file as source
cd-info, ,i,input, , ,116,set source and determine if 'bin' image or device
cd-info, , ,iso9660, , ,117,print directory contents of any ISO-9660 filesystems
cd-info, ,C,cdrom-device, , ,118,set CD-ROM device as source
cd-info, ,l,list-drives, , ,119,Give a list of CD-drives
cd-info, , ,no-header, , ,120,Don't display header and copyright (for regression testing)
cd-info, , ,no-joliet, , ,121,Don't use Joliet extensions
cd-info, , ,no-rock-ridge, , ,122,Don't use Rock-Ridge-extension information
cd-info, , ,no-xa, , ,123,Don't use XA-extension information
cd-info, ,q,quiet, , ,124,Don't produce warning output
cd-info, ,V,version, , ,125,display version and copyright information and exit . SS 'Help options:'
cd-info, ,?,help, , ,126,Show this help message
cd-info, ,H,cddb-http, , ,127, 
cd-info, , ,cddb-server, , ,128, 
cd-info, , ,cddb-cache, , ,129, 
cd-info, , ,cddb-email, , ,130, 
cd-info, , ,no-cddb-cache, , ,131, 
cd-info, , ,cddb-timeout, , ,132, 
cd-info, , ,usage, , ,133,Display brief usage message AUTHOR Rocky Bernstein rocky@gnu
