cmd,conds,short,long,params,dirs,pri,desc
certutil, , ,rename, , ,101, 
certutil, , ,merge, , ,102, 
certutil, , ,upgrade-merge, , ,103, 
certutil, , ,simple-self-signed, , ,104, 
certutil, , ,dump-ext-val, , ,105, 
certutil, , ,email, , ,106, 
certutil, , ,extGeneric, , ,107, 
certutil, , ,pss, , ,108, 
certutil, , ,pss-sign, , ,109, 
certutil, ,1,keyUsage, , ,110, 
certutil, ,5,nsCertType, , ,111, 
certutil, ,6,extKeyUsage, , ,112, 
certutil, , ,extAIA, , ,113, 
certutil, , ,extSIA, , ,114, 
certutil, , ,extCP, , ,115, 
certutil, , ,extPM, , ,116, 
certutil, , ,extPC, , ,117, 
certutil, , ,extIA, , ,118, 
certutil, , ,extSKID, , ,119, 
certutil, , ,extNC, , ,120, 
certutil, , ,extSAN, , ,121, 
certutil, , ,empty-password, , ,122, 
certutil, , ,keyAttrFlags, , ,123, 
certutil, , ,keyOpFlagsOff, , ,124, 
certutil, , ,new-n, , ,125, 
certutil, , ,source-dir, , ,126, 
certutil, , ,source-prefix, , ,127, 
certutil, , ,upgrade-id, , ,128, 
certutil, , ,upgrade-token-name, , ,129, 
certutil, , ,ext*, , ,130,options set certificate extensions that can be added to the certificate when …
certutil, , ,---BEGIN, , ,131,MIIB1DCCAT2gAwIBAgICDkIwDQYJKoZIhvcNAQEFBQAwFTETMBEGA1UEAxMKRXhh bXBsZSBDQTAe…
certutil, , ,---END, , ,132,For a human-readable display $ certutil -L -d $HOME/nssdb -n my-ca-cert Certi…
certutil, , ,-merge, , ,133,command
