cmd,conds,short,long,params,dirs,pri,desc
chpasswd, ,c,crypt-methodMETHOD, , ,101,Use the specified method to encrypt the passwords
chpasswd, ,e,encrypted, , ,102,Supplied passwords are in encrypted form
chpasswd, ,h,help, , ,103,Display help message and exit
chpasswd, ,m,md5, , ,104,Use MD5 encryption instead of DES when the supplied passwords are not encrypt…
chpasswd, ,R,rootCHROOT_DIR, , ,105,Apply changes in the CHROOT_DIR directory and use the configuration files fro…
chpasswd, ,P,prefixPREFIX_DIR, , ,106,Apply changes to configuration files under the root filesystem found under th…
chpasswd, ,s,sha-roundsROUNDS, , ,107,Use the specified number of rounds to encrypt the passwords
chpasswd, , ,crypt-method, , ,108, 
chpasswd, , ,root, , ,109, 
chpasswd, , ,prefix, , ,110, 
chpasswd, , ,sha-rounds, , ,111, 
