cmd,conds,short,long,params,dirs,pri,desc
diskutil, apfs, , ,list,@f,165,Show status of all current APFS Containers
diskutil, apfs, , ,convert,@f,166,Nondestructively convert from HFS to APFS
diskutil, apfs, , ,create,@f,167,Create a new APFS Container with one APFS Volume
diskutil, apfs, , ,createContainer,@f,168,Create a new empty APFS Container
diskutil, apfs, , ,deleteContainer,@f,169,Delete an APFS Container and reformat disks to HFS
diskutil, apfs, , ,resizeContainer,@f,170,Resize an APFS Container and its disk space usage
diskutil, apfs, , ,addVolume,@f,171,Export a new APFS Volume from an APFS Container
diskutil, apfs, , ,deleteVolume,@f,172,Remove an APFS Volume from its APFS Container
diskutil, apfs, , ,eraseVolume,@f,173,"Erase contents of, but keep, an APFS Volume"
diskutil, apfs, , ,changeVolumeRole,@f,174,Change the Role metadata bits of an APFS Volume
diskutil, apfs, , ,unlockVolume,@f,175,Unlock an encrypted APFS Volume which is locked
diskutil, apfs, , ,lockVolume,@f,176,Lock an encrypted APFS Volume (diskutil unmount)
diskutil, apfs, , ,listCryptoUsers,@f,177,List cryptographic users of encrypted APFS Volume
diskutil, apfs, , ,changePassphrase,@f,178,Change the passphrase of a cryptographic user
diskutil, apfs, , ,setPassphraseHint,@f,179,Set or clear passphrase hint of a cryptographic user
diskutil, apfs, , ,encryptVolume,@f,180,Start async encryption of an unencrypted APFS Volume
diskutil, apfs, , ,decryptVolume,@f,181,Start async decryption of an encrypted APFS Volume
diskutil, apfs, , ,updatePreboot,@f,182,Update the APFS Volume's related APFS Preboot Volume
diskutil, appleRAID, , ,list,@f,184,Display the current status of RAID sets
diskutil, appleRAID, , ,create,@f,185,Create a RAID set on multiple disks
diskutil, appleRAID, , ,delete,@f,186,Delete an existing RAID set
diskutil, appleRAID, , ,repairMirror,@f,187,Repair a damaged RAID mirror set
diskutil, appleRAID, , ,add,@f,188,Add a spare or member disk to an existing RAID
diskutil, appleRAID, , ,remove,@f,189,Remove a spare or member disk from an existing RAID
diskutil, appleRAID, , ,enable,@f,190,Convert a volume into a single disk RAID set
diskutil, appleRAID, , ,update,@f,191,Update the settings of an existing RAID
diskutil, coreStorage, , ,list,@f,193,Show status of CoreStorage volumes
diskutil, coreStorage, , ,info,@f,194,Get CoreStorage information by UUID or disk
diskutil, coreStorage, , ,convert,@f,195,Convert a volume into a CoreStorage volume
diskutil, coreStorage, , ,revert,@f,196,Revert a CoreStorage volume to its native type
diskutil, coreStorage, , ,create,@f,197,Create a new CoreStorage logical volume group
diskutil, coreStorage, , ,delete,@f,198,Delete a CoreStorage logical volume group
diskutil, coreStorage, , ,rename,@f,199,Rename a CoreStorage logical volume group
diskutil, coreStorage, , ,createVolume,@f,200,Create a new CoreStorage logical volume
diskutil, coreStorage, , ,deleteVolume,@f,201,Delete a volume from a logical volume group
diskutil, coreStorage, , ,encryptVolume,@f,202,Start encrypting a CoreStorage logical volume
diskutil, coreStorage, , ,decryptVolume,@f,203,Start decrypting a CoreStorage logical volume
diskutil, coreStorage, , ,unlockVolume,@f,204,Attach/mount a locked CoreStorage logical volume
diskutil, coreStorage, , ,changeVolumePassphrase,@f,205,Change a CoreStorage logical volume's passphrase
diskutil, coreStorage, , ,resizeVolume,@f,206,Resize a CoreStorage volume
diskutil, coreStorage, , ,resizeDisk,@f,207,Resize a CoreStorage physical volume disk
diskutil, coreStorage, , ,resizeStack,@f,208,Resize a CoreStorage logical/physical volume set

diskutil, , , ,list,@f,209,List disks
diskutil,list, , , ,@f,210,Return a property list
diskutil, , , ,info,@f,211,Get detailed information about a specific whole disk or partition
diskutil,info, , , ,@f,212,Return a property list
diskutil, , , ,activity,@f,213,Continuously display system-wide disk manipulation activity
diskutil, , , ,listFilesystems,@f,214,Show the file system personalities available
diskutil,listFilesystems, , , ,@f,215,Return a property list
diskutil, , , ,umount,@f,216,Unmount a single volume
diskutil,umount, , , ,@E @f,217,__fish_diskutil_mounted_volumes
diskutil,umountDisk, , , ,@E @f,218,__fish_diskutil_mounted_volumes
diskutil, , , ,eject,@f,219,Eject a volume or disk
diskutil,eject, , , ,@E @f,220,__fish_diskutil_mounted_volumes ; __fish_diskutil_devices
diskutil, , , ,mount,@f,221,Mount a single volume
diskutil,mount, , , ,@r,222,Specify mount point
diskutil,mountDisk, , , ,@E @f,223,__fish_diskutil_devices
diskutil, , , ,rename,@f,224,Rename a volume
diskutil,rename, , , ,@E @f,225,__fish_diskutil_devices
diskutil, , , ,enableJournal,@f,226,Enable journaling on an HFS+ volume
diskutil,enableJournal, , , ,@E @f,227,__fish_diskutil_devices
diskutil, , , ,disableJournal,@f,228,Disable journaling on an HFS+ volume
diskutil,disableJournal, , , ,@E @f,229,__fish_diskutil_devices
diskutil, , , ,moveJournal,@f,230,Create a 512MB Apple_Journal partition
diskutil,moveJournal, , , ,@E @f,231,__fish_diskutil_devices
diskutil, , , ,enableOwnership,@f,232,Enable ownership of a volume
diskutil,enableOwnership, , , ,@E @f,233,__fish_diskutil_devices
diskutil, , , ,disableOwnership,@f,234,Disable ownership of a volume
diskutil,disableOwnership, , , ,@E @f,235,__fish_diskutil_devices
diskutil, , , ,verifyVolume,@f,236,Verify the file system data structures of a volume
diskutil,verifyVolume, , , ,@E @f,237,__fish_diskutil_devices
diskutil, , , ,repairVolume,@f,238,Repair the file system data structures of a volume
diskutil,repairVolume, , , ,@E @f,239,__fish_diskutil_devices
diskutil, , , ,verifyDisk,@f,240,Verify the partition map layout of a whole disk
diskutil,verifyDisk, , , ,@E @f,241,__fish_diskutil_devices
diskutil, , , ,repairDisk,@f,242,Repair the partition map layout of a whole disk
diskutil,repairDisk, , , ,@E @f,243,__fish_diskutil_devices
diskutil, , , ,eraseDisk,@f,244,Erase an existing disk
diskutil,eraseDisk, , , ,@E @f,245,__fish_diskutil_devices
diskutil, , , ,reformat,@f,246,Erase an existing volume by writing out a new empty file system
diskutil,reformat, , , ,@E @f,247,__fish_diskutil_devices
diskutil,eraseOptical, , , ,@E @f,248,__fish_diskutil_devices
diskutil, , , ,zeroDisk,@f,249,Erase a device, writing zeros to the media
diskutil,zeroDisk, , , ,@E @f,250,__fish_diskutil_devices
diskutil, , , ,randomDisk,@f,251,Erase a whole disk, writing random data to the media
diskutil,randomDisk, , , ,@E @f,252,__fish_diskutil_devices
diskutil, , , ,secureErase,@f,253,Erase, using a secure method
diskutil,secureErase, , , ,@E @f,254,__fish_diskutil_devices
diskutil,partitionDisk, , , ,@E @f,255,__fish_diskutil_devices
diskutil,resizeVolume, , , ,@E @f,256,__fish_diskutil_devices
diskutil, , , ,splitPartition,@f,257,Destructively split a volume into multiple partitions
diskutil,splitPartition, , , ,@E @f,258,__fish_diskutil_devices
diskutil, , , ,mergePartitions,@f,259,Merge two or more partitions on a disk
diskutil,mergePartitions, , , ,@E @f,260,__fish_diskutil_devices
diskutil, , , ,apfs,@f,261,Merge two or more partitions on a disk
diskutil, , , ,appleRAID,@f,262,Create, manipulate and destroy AppleRAID volumes
diskutil, , , ,coreStorage,@f,263,Create, manipulate and destroy CoreStorage volumes
diskutil, , , ,umountDisk,@f,264,Unmount an entire disk (all volumes)
diskutil, , , ,mountDisk,@f,265,Mount an entire disk (all mountable volumes)
diskutil, , , ,eraseOptical,@f,266,Erase optical media (CD/RW, DVD/RW, etc.)
diskutil, , , ,partitionDisk,@f,267,(re)Partition a disk, removing all volumes
diskutil, , , ,resizeVolume,@f,268,Non-destructively resize a volume (partition)
