cmd,conds,short,long,params,dirs,pri,desc
entr, , , , ,@f @r,101, 

entr, ,a, , , ,102,Respond to all events
entr, ,c, , , ,103,Clear the screen before running
entr, ,d, , , ,104,Track directories and exit if new file added
entr, ,n, , , ,105,Run in non-interactive mode
entr, ,p, , , ,106,Postpone execution of utility until a file is modified
entr, ,r, , , ,107,Launch utility at startup and reload on file change
entr, ,s, , , ,108,Evaluate using the interpreter in SHELL env variable
entr, ,z, , , ,109,Exit after utility completes
