cmd,conds,short,long,params,dirs,pri,desc
fdisk, ,b,sector-size, , ,101, 
fdisk, ,B,protect-boot, , ,102, 
fdisk, ,c,compatibility, , ,103, 
fdisk, ,h,help, , ,104, 
fdisk, ,V,version, , ,105, 
fdisk, ,L,color, , ,106, 
fdisk, ,l,list, , ,107, 
fdisk, ,x,list-details, , ,108, 
fdisk, , ,lock, , ,109, 
fdisk, ,n,noauto-pt, , ,110, 
fdisk, ,o,output, , ,111, 
fdisk, ,s,getsz, , ,112, 
fdisk, ,t,type, , ,113, 
fdisk, ,u,units, , ,114, 
fdisk, ,C,cylinders, , ,115, 
fdisk, ,H,heads, , ,116, 
fdisk, ,S,sectors, , ,117, 
fdisk, ,w,wipe, , ,118, 
fdisk, ,W,wipe-partitions, , ,119, 
