cmd,conds,short,long,params,dirs,pri,desc
find,, ,help, , ,101,Display help and exit
find,, , ,1 2 3 4 5 6 7 8 9, ,102,Maximum recursion depth
find,, , ,emacs posix-awk posix-basic posix-egrep posix-extended, ,104,Specify regular expression type
find,, ,version, , ,105,Display version and exit
find,,D, ,exec opt rates search stat time tree all help,@f @r,106,Print diagnostic information.
find,, , , ,@F,107,File is on filesystem of specified type
find,, , , ,@f @r,108,Numeric group ID of file
find,, , ,1 2 3 4 5 6 7 8 9,@f @r,110,File has specified number of links
find,, , ,$type_comp,@f @r,111,File is of specified type
find,,P,,, ,115,Never follow symlinks
find,,L,,, ,116,Follow symlinks
find,,d,,, ,117,Process subdirectories before the directory itself
find,,a,,, ,118,Result is only true if both previous and next action are true
find,,o,,, ,119,Result is true if either previous or next action are true
find,,H, , , ,120,Don't follow symlinks (except for command line arguments)
