cmd,conds,short,long,params,dirs,pri,desc
ftp, ,4,ipv4, , ,101,contact IPv4 hosts
ftp, ,6,ipv6, , ,102,contact IPv6 hosts
ftp, ,A,active, , ,103,enable active mode transfer
ftp, ,d,debug, , ,104,enable debugging output
ftp, ,e,no-edit, , ,105,disable command line editing
ftp, ,g,no-glob, , ,106,turn off file name globbing
ftp, ,i,no-prompt, , ,107,do not prompt during multiple file transfers
ftp, ,n,no-login, , ,108,do not automatically login to the remote system
ftp, ,N,netrc, , ,109,select a specific initialization file
ftp, , ,prompt, , ,110,"print a command line PROMPT (optionally), even if not on a tty"
ftp, ,p,passive, , ,111,"enable passive mode transfer, default for `pftp'"
ftp, ,t,trace, , ,112,enable packet tracing
ftp, ,v,verbose, , ,113,verbose output
ftp, ,?,help, , ,114,give this help list
ftp, , ,usage, , ,115,give a short usage message
ftp, ,V,version, , ,116,print program version
