cmd,conds,short,long,params,dirs,pri,desc
fzf, , ,no-, , ,101,SS SEARCH
fzf, ,x,extended, , ,102,Extended-search mode.  Enabled by default
fzf, ,e,exact, , ,103,Enable exact-match
fzf, ,i,ignore-case, , ,104,Case-insensitive match (default: smart-case match)
fzf, , ,no-ignore-case, , ,105,Case-sensitive match
fzf, , ,smart-case, , ,106,Smart-case match (default)
fzf, , ,literal, , ,107,Do not normalize latin script letters for matching
fzf, , ,scheme, , ,108,Choose scoring scheme tailored for different types of input. RS  default 
fzf, , ,algo, , ,109,Fuzzy matching algorithm (default: v2)  
fzf, ,n,nth, , ,110,Comma-separated list of field index expressions for limiting search scope
fzf, , ,with-nth, , ,111,Transform the presentation of each line using the field index expressions
fzf, , ,accept-nth, , ,112,Define which fields to print on accept
fzf, , ,no-sort, , ,113,Do not sort the result
fzf, ,d,delimiter, , ,114,"Field delimiter regex for --nth, --with-nth, and field index expressions (def…"
fzf, , ,tail, , ,115,Maximum number of items to keep in memory
fzf, , ,disabled, , ,116,Do not perform search
fzf, , ,tiebreak, , ,117,Comma-separated list of sort criteria to apply when the scores are tied. br  
fzf, , ,read0, , ,118,Read input delimited by ASCII NUL characters instead of newline characters
fzf, , ,print0, , ,119,Print output delimited by ASCII NUL characters instead of newline characters
fzf, , ,ansi, , ,120,Enable processing of ANSI color codes
fzf, , ,sync, , ,121,Synchronous search for multi-staged filtering
fzf, , ,style, , ,122,Apply a style preset [default|minimal|full[:BORDER_STYLE]]
fzf, , ,color, , ,123,Color configuration
fzf, , ,no-color, , ,124,Disable colors
fzf, , ,no-bold, , ,125,Do not use bold text
fzf, , ,black, , ,126,Use black background  . SS DISPLAY MODE
fzf, , ,height, , ,127,Display fzf window below the cursor with the given height instead of using th…
fzf, , ,min-height, , ,128,Minimum height when --height is given as a percentage
fzf, , ,tmux, , ,129,"Start fzf in a tmux popup (default center,50%).  Requires tmux 3. 3 or later"
fzf, , ,layout, , ,130,Choose the layout (default: default)  
fzf, , ,reverse, , ,131,A synonym for --layout=reverse
fzf, , ,margin, , ,132,Comma-separated expression for margins around the finder. br  . br 
