cmd,conds,short,long,params,dirs,pri,desc
gpg-wks-server, , ,from, , ,101,Use mailaddr as the default sender address
gpg-wks-server, , ,header, , ,102,Add the mail header 'name: value' to all outgoing mails
gpg-wks-server, , ,send, , ,103,Directly send created mails using the sendmail command
gpg-wks-server, , ,with-dir, , ,104,When used with the command --list-domains print for each installed domain the…
gpg-wks-server, , ,with-file, , ,105,"When used with the command --check-key print for each user-id, the address, '…"
gpg-wks-server, , ,verbose, , ,106,Enable extra informational output
gpg-wks-server, , ,quiet, , ,107,Disable almost all informational output
gpg-wks-server, , ,version, , ,108,Print version of the program and exit
gpg-wks-server, , ,directory, , ,109,Use dir as top level directory for domains
gpg-wks-server, , ,output, , ,110,Write the created mail also to file.  Note that the value
gpg-wks-server, , ,help, , ,111,Display a brief help page and exit.  EXAMPLES
