cmd,conds,short,long,params,dirs,pri,desc
grub-render-label, ,b,bgcolor, , ,101,use COLOR for background
grub-render-label, ,c,color, , ,102,use COLOR for text
grub-render-label, ,f,font, , ,103,use FILE as font (PF2)
grub-render-label, ,i,input, , ,104,read text from FILE
grub-render-label, ,o,output, , ,105,set output filename.  Default is STDOUT
grub-render-label, ,t,text, , ,106,set the label to render
grub-render-label, ,v,verbose, , ,107,print verbose messages
grub-render-label, ,?,help, , ,108,give this help list
grub-render-label, , ,usage, , ,109,give a short usage message
grub-render-label, ,V,version, , ,110,print program version
