cmd,conds,short,long,params,dirs,pri,desc
install, , ,backup, , ,101,make a backup of each existing destination file
install, ,C,compare, , ,102,"compare content of source and destination files, and if no change to content,…"
install, ,d,directory, , ,103,"treat all arguments as directory names; create all components of the specifie…"
install, , ,debug, , ,104,explain how a file is copied.   Implies -v
install, ,g,group, , ,105,"set group ownership, instead of process' current group"
install, ,m,mode, , ,106,"set permission mode (as in chmod), instead of rwxr-xr-x"
install, ,o,owner, , ,107,set ownership (super-user only)
install, ,p,preserve-timestamps, , ,108,apply access/modification times of SOURCE files to corresponding destination …
install, ,s,strip, , ,109,strip symbol tables
install, , ,strip-program, , ,110,program used to strip binaries
install, ,S,suffix, , ,111,override the usual backup suffix
install, ,t,target-directory, , ,112,copy all SOURCE arguments into DIRECTORY
install, ,T,no-target-directory, , ,113,treat DEST as a normal file
install, ,v,verbose, , ,114,print the name of each created file or directory
install, , ,preserve-context, , ,115,preserve SELinux security context
install, , ,context, , ,116,"like -Z, or if CTX is specified then set the SELinux or SMACK security contex…"
install, , ,help, , ,117,display this help and exit
install, , ,version, , ,118,output version information and exit 
