cmd,conds,short,long,params,dirs,pri,desc
k3d,cluster, , ,create,@f,108,Create a new cluster
k3d,cluster, , ,list,@f,109,List cluster(s)
k3d,cluster, , ,delete,@f,110,Delete cluster(s)
k3d,cluster, , ,start,@f,111,Start existing k3d cluster(s)
k3d,cluster, , ,stop,@f,112,Stop existing k3d cluster(s)
k3d,cluster and delete start stop, , , ,@f,113,Cluster
k3d,cluster,h,help, ,@f,114,Print usage
k3d,image, , ,import,@f,115,Import image(s) from docker into k3d cluster(s)
k3d,image, , ,help,@f,116,Print usage
k3d,kubeconfig, , ,get,@f,118,Get kubeconfig from cluster(s)
k3d,kubeconfig, , ,merge,@f,119,Merge/write kubeconfig(s) from cluster(s) into existing kubeconfig/file
k3d,kubeconfig get merge,a,all, ,@f,121,Get kubeconfig from all existing clusters
k3d,, ,version, ,@f,131,Show k3d and default k3s version
k3d,, , ,version,@f,132,Show k3d and default k3s version
k3d,, , ,image,@f,133,Handle container images
k3d,cluster delete start stop, , , ,@E @f,134,k3d cluster list &? | tail -n +2 | cut -d' ' -f1
k3d,, , ,cluster,@f,136,Manage cluster(s)
k3d,, , ,kubeconfig,@f,137,Manage kubeconfig(s)
k3d,, , ,node,@f,138,Manage node(s)
