cmd,conds,short,long,params,dirs,pri,desc
losetup, ,a,all, , ,101, 
losetup, ,d,detach, , ,102, 
losetup, ,D,detach-all, , ,103, 
losetup, ,f,find, , ,104, 
losetup, , ,show, , ,105, 
losetup, ,L,nooverlap, , ,106, 
losetup, ,o,associated, , ,107, 
losetup, , ,offset, , ,108, 
losetup, , ,loop-ref, , ,109, 
losetup, , ,sizelimit, , ,110, 
losetup, ,b,sector-size, , ,111, 
losetup, ,c,set-capacity, , ,112, 
losetup, ,P,partscan, , ,113, 
losetup, ,r,read-only, , ,114, 
losetup, , ,direct-io, , ,115, 
losetup, ,v,verbose, , ,116, 
losetup, ,l,list, , ,117, 
losetup, ,O,output, , ,118, 
losetup, , ,output-all, , ,119, 
losetup, ,n,noheadings, , ,120, 
losetup, , ,raw, , ,121, 
losetup, ,J,json, , ,122, 
