cmd,conds,short,long,params,dirs,pri,desc
meson,,h,help, , ,101,Show help
meson,wrap update, ,force, , ,103,Update wraps that does not seems to come from WrapDB
meson,wrap update, ,sourcedir, , ,104,Source directory
meson,wrap update, ,types, ,@f @r,105,Comma-separated list of subproject types
meson,wrap update, ,num-processes, ,@f @r,106,How many parallel processes to use
meson,wrap update, ,allow-insecure, ,@f @r,107,Allow insecure server connections
meson,test,C, , , ,111,Directory to cd into before running
meson,test, ,maxfail, ,@f @r,112,Number of failing tests before aborting the test run
meson,test, ,repeat, ,@f @r,113,Number of times to run the tests
meson,test, ,no-rebuild, , ,114,Do not rebuild before running tests
meson,test, ,gdb, , ,115,Run test under gdb
meson,test, ,gdb-path, ,@r,116,Run test under gdb
meson,test, ,list, , ,117,List available tests
meson,test, ,suite, , ,118,Only run tests belonging to the given suite
meson,test, ,no-suite, , ,119,Do not run tests belonging to the given suite
meson,test, ,no-stdsplit, , ,120,Do not split stderr and stdout in test logs
meson,test, ,print-errorlogs, , ,121,Print logs of failing tests
meson,test, ,benchmark, , ,122,Run benchmarks instead of tests
meson,test, ,logbase, ,@f @r,123,Base name for log file
meson,test,v,verbose, , ,125,Do not redirect stdout and stderr
meson,test,q,quiet, , ,126,Produce less output to the terminal
meson,test,t,timeout-multiplier, ,@f @r,127,Multiplier for test timeout
meson,test, ,setup, ,@f @r,128,Which test setup to use
meson,subprojects update, ,reset, , ,129,Checkout wrap
meson,subprojects checkout,b, , , ,130,Create a new branch
meson,subprojects purge, ,include-cache, , ,131,Remove the package cache as well
meson,subprojects purge, ,confirm, , ,132,Confirm the removal of subproject artifacts
meson,subprojects packagefiles, ,apply, , ,133,Apply packagefiles to the subproject
meson,subprojects packagefiles, ,save, , ,134,Save packagefiles from the subproject
meson,, ,prefix, , ,136,Installation prefix
meson,, ,bindir, , ,137,Executable directory
meson,, ,datadir, , ,138,Data file directory
meson,, ,includedir, , ,139,Header file directory
meson,, ,infodir, , ,140,Info page directory
meson,, ,libdir, , ,141,Library directory
meson,, ,licensedir, , ,142,Licenses directory
meson,, ,libexecdir, , ,143,Library executable directory
meson,, ,localedir, , ,144,Locale data directory
meson,, ,localstatedir, , ,145,Localstate data directory
meson,, ,mandir, , ,146,Manual page directory
meson,, ,sbindir, , ,147,System executable directory
meson,, ,sharedstatedir, , ,148,Architecture-independent data directory
meson,, ,sysconfdir, , ,149,Sysconf data directory
meson,, ,auto-features, , ,150,Override value of all 'auto' features
meson,, ,backend, , ,151,Backend to use
meson,, ,buildtype, , ,152,Build type to use
meson,, ,debug, , ,153,Enable debug symbols and other info
meson,, ,default-library, , ,154,Default library type
meson,, ,errorlogs, , ,155,Print the logs from failing tests
meson,, ,install-umask, ,@f @r,156,Default umask to apply on permissions of installed files
meson,, ,layout, , ,157,Build directory layout
meson,, ,optimization, , ,158,Optimization level
meson,, ,prefer-static, , ,159,Try static linking before shared linking
meson,, ,stdsplit, , ,160,Split stdout and stderr in test logs
meson,, ,strip, , ,161,Strip targets on install
meson,, ,unity, , ,162,Unity build
meson,, ,unity-size, ,@f @r,163,Unity block size
meson,, ,warnlevel, , ,164,Compiler warning level to use
meson,, ,werror, , ,165,Treat warnings as errors
meson,, ,wrap-mode, , ,166,Wrap mode
