cmd,conds,short,long,params,dirs,pri,desc
mkinitcpio, ,A,addhooks, , ,101,Add the additional hooks to the image
mkinitcpio, ,c,config, , ,102,Use config file to generate the ramdisk
mkinitcpio, ,d,generatedir, , ,103,Set directory as the location where the initramfs is built
mkinitcpio, ,g,generate, , ,104,Generate a CPIO image as filename
mkinitcpio, ,H,hookhelp, , ,105,Output help for a hook
mkinitcpio, ,h,help, , ,106,Output a short overview of available command-line switches
mkinitcpio, ,k,kernel, , ,107,"Use kernelversion, instead of the current running kernel"
mkinitcpio, ,L,listhooks, , ,108,List all available hooks
mkinitcpio, ,M,automods, , ,109,Display modules found via autodetection
mkinitcpio, ,n,nocolor, , ,110,Disable color output
mkinitcpio, ,P,allpresets, , ,111,Process all presets contained in /etc/mkinitcpio.d
mkinitcpio, ,p,preset, , ,112,Build initramfs image(s) according to specified preset
mkinitcpio, ,r,moduleroot, , ,113,Specifies the root directory to find modules in
mkinitcpio, ,S,skiphooks, , ,114,Skip hooks when generating the image
mkinitcpio, ,s,save, , ,115,Saves the build directory for the initial ramdisk
mkinitcpio, ,t,builddir, , ,116,Use tmpdir as the temporary build directory instead of /tmp
mkinitcpio, ,V,version, , ,117,Display version information
mkinitcpio, ,v,verbose, , ,118,Verbose output
mkinitcpio, ,z,compress, , ,119,Override the compression method with the compress program
