cmd,conds,short,long,params,dirs,pri,desc
open,,a, , ,@r,101,specify app name
open,,b, , ,@f @r,102,specify app bundle id
open,, ,args, , ,103,pass remaining args to app
open,,e, , , ,104,open in TextEdit
open,,t, , , ,105,open in default editor
open,,f, , , ,106,open stdin with editor
open,,F, , , ,107,open app with fresh state
open,,W, , , ,108,wait for app to exit
open,,R, , , ,109,reveal in Finder
open,,n, , , ,110,open new instance of app
open,,g, , , ,111,open app in background
open,,h, , ,@r,112,open library header file
