cmd,conds,short,long,params,dirs,pri,desc
parecord, ,h,help, , ,101,Show help
parecord, , ,version, , ,102,Show version information
parecord, ,r,record, , ,103,Capture audio data and write it to the specified file or to STDOUT if none is…
parecord, ,p,playback, , ,104,"Read audio data from the specified file or STDIN if none is specified, and pl…"
parecord, ,v,verbose, , ,105,Enable verbose operation
parecord, ,s,server, , ,106,Choose the server to connect to
parecord, ,d,device, , ,107,Specify the symbolic name of the sink/source to play/record this stream on/fr…
parecord, , ,monitor-stream, , ,108,Record from the sink input with index INDEX
parecord, ,n,client-name, , ,109,Specify the client name paplay shall pass to the server when connecting
parecord, , ,stream-name, , ,110,Specify the stream name paplay shall pass to the server when creating the str…
parecord, , ,volume, , ,111,Specify the initial playback volume to use
parecord, , ,rate, , ,112,Capture or play back audio with the specified sample rate
parecord, , ,format, , ,113,Capture or play back audio with the specified sample format.  See https://www
parecord, , ,channels, , ,114,Capture or play back audio with the specified number of channels
parecord, , ,channel-map, , ,115,Explicitly choose a channel map when playing back this stream
parecord, , ,fix-format, , ,116,"If passed, the sample format of the stream is changed to the native format of…"
parecord, , ,fix-rate, , ,117,"If passed, the sampling rate of the stream is changed to the native rate of t…"
parecord, , ,fix-channels, , ,118,"If passed, the number of channels and the channel map of the stream is change…"
parecord, , ,no-remix, , ,119,Never upmix or downmix channels
parecord, , ,no-remap, , ,120,Never remap channels
parecord, , ,latency, , ,121,"Explicitly configure the latency, with a time specified in bytes in the selec…"
parecord, , ,latency-msec, , ,122,"Explicitly configure the latency, with a time specified in milliseconds"
parecord, , ,process-time, , ,123,"Explicitly configure the process time, with a time specified in bytes in the …"
parecord, , ,process-time-msec, , ,124,"Explicitly configure the process time, with a time specified in milliseconds"
parecord, , ,property, , ,125,Attach a property to the client and stream.  May be used multiple times
parecord, , ,raw, , ,126,Play/record raw audio data
parecord, , ,file-format, , ,127,Play/record encoded audio data in the file format specified
parecord, , ,list-file-formats, , ,128,List supported file formats
