cmd,conds,short,long,params,dirs,pri,desc
ping,,M, ,do want dont, ,101,Select Path MTU Discovery strategy
ping,,T, ,tsonly tsandaddr tsprespec, ,102,Set IP timestamp options (IPv4 only)
ping,, ,mask, , ,103,Send ICMP_ADDRESS packets
ping,, ,echo, , ,104,Send ICMP_ECHO packets
ping,, ,timestamp, , ,105,Send ICMP_TIMESTAMP packets
ping,,t,type, , ,106,Set packet type
ping,,c,count, , ,107,Set number of packets to send
ping,,d,debug, , ,108,Set the SO_DEBUG option
ping,,i,interval, , ,109,Set seconds to wait between sending each packet
ping,,n,numeric, , ,110,Do not resolve host addresses
ping,,r,ignore-routing, , ,111,Send directly to a host on an attached network
ping,, ,ttl, , ,112,Set time-to-live
ping,,T,tos, , ,113,Set type of service
ping,,v,verbose, , ,114,Verbose output
ping,,w,timeout, , ,115,Stop after N seconds
ping,,W,linger, , ,116,Number of seconds to wait for response
ping,,f,flood, , ,117,Flood ping
ping,, ,ip-timestamp,tsonly tsaddr, ,118,Set IP timestamp type
ping,,l,preload, , ,119,Send number of packets as fast as possible
ping,,p,pattern, , ,120,Fill ICMP packet with given pattern
ping,,q,quiet, , ,121,Quiet output
ping,,R,route, , ,122,Record route
ping,,s,size, , ,123,Set number of data octets
ping,,\?,help, , ,124,Show help
ping,, ,usage, , ,125,Short usage message
ping,,V,version, , ,126,Print program version
ping,,M, ,mask time, ,127,Use ICMP_MASKREQ or ICMP_TSTAMP instead of ICMP_ECHO
ping,,k, ,BK_SYS BK BE RD OAM AV RV VI VO CTL, ,128,Traffic class to use for sending ICMP packets
ping,,K, ,BK_SYS BK BE RV AV RD OAM VI SIG VO, ,129,Network service type to use for sending ICMP packets
ping,, ,apple-connect, , ,130,Connects the socket to the destination address
ping,, ,apple-time, , ,131,Prints the time a packet was received
ping,,4,,, ,133,Use IPv4
ping,,6,,, ,134,Use IPv6
ping,,a,,, ,135,Audible ping
ping,,A,,, ,136,Adaptive ping
ping,,B,,, ,137,Sticky source address
ping,,c,,,@f @r,138,Stop after specified number of packets
ping,,D,,, ,139,Print timestamps
ping,,d,,, ,140,Set SO_DEBUG socket option
ping,,f,,, ,141,Flood ping
ping,,h,,, ,142,Print help and exit
ping,,I,,, ,143,Set source address to specified interface address
ping,,i,,,@f @r,144,Seconds between sending each packet
ping,,L,,, ,145,Suppress loopback of multicast packets
ping,,l,,,@f @r,146,Send the specified number of packets without waiting for reply
ping,,m,,,@f @r,147,Tag the packets going out
ping,,M,,, ,148,Select Path MTU Discovery strategy
ping,,n,,, ,149,No dns name resolution
ping,,O,,, ,150,Report outstanding replies
ping,,p,,,@f @r,151,Contents of padding byte
ping,,q,,, ,152,Quiet mode
ping,,Q,,,@f @r,153,Set QoS bits in ICMP datagrams
ping,,s,,,@f @r,154,Number of data bytes to be sent
ping,,S,,,@f @r,155,Set socket buffer size
ping,,t,,,@f @r,156,Set the IP Time to Live
ping,,U,,, ,157,Print full user-to-user latency
ping,,v,,, ,158,Verbose mode
ping,,V,,, ,159,Display version and exit
ping,,w,,,@f @r,160,Specify a timeout, in seconds, before ping exits
ping,,W,,,@f @r,161,Time to wait for a response, in seconds
ping,,,ip-timestamp,, ,162,Set IP timestamp type
ping,,C,,, ,176,Prohibit the socket from using the cellular network interface
ping,,G,,,@f @r,181,Maximum payload size for sweeping pings
ping,,g,,,@f @r,182,Minimum payload size for sweeping pings
ping,,h,,,@f @r,183,Payload size increment for sweeping pings
ping,,I,,,@f @r,184,Source multicast packets with the given interface address
ping,,o,,, ,191,Exit successfully after receiving one reply packet
ping,,P,,,@f @r,192,Specify IPsec policy for the ping session
ping,,Q,,, ,194,Somewhat quiet output
ping,,R,,, ,196,Record route
ping,,r,,, ,197,Bypass the normal routing tables
ping,,S,,, ,198,Source address for outgoing packets
ping,,T,,,@f @r,200,Time To Live for multicasted packets
ping,,z,,,@f @r,202,Use the specified type of service
ping,,b,,, ,203,Bind the socket to specified interface for sending
ping,,k,,, ,204,Traffic class to use for sending ICMP packets
ping,,K,,, ,205,Network service type to use for sending ICMP packets
ping,,F, , ,@f @r,206,Define flow label (IPv6 only)
ping,,N, , ,@f @r,207,Send ICMPv6 Node Information Queries (IPv6 only)
