cmd,conds,short,long,params,dirs,pri,desc
pkgdata, ,?,help, , ,101,Print help about usage and exit
pkgdata, ,v,verbose, , ,102,Display extra informative messages during execution
pkgdata, ,c,copyright, , ,103,Include a copyright notice in the binary data
pkgdata, ,C,comment, , ,104,Includes the specified  comment in the resulting data instead of the ICU copy…
pkgdata, ,m,mode, , ,105,Set the packaging  mode to be used by   pkgdata 
pkgdata, ,O,bldopt, , ,106,Specify options for the builder
pkgdata, ,p,name, , ,107,Set the packaged file name to R name 
pkgdata, ,e,entrypoint, , ,108,Set the data entry point (used for linking against the data in a shared libra…
pkgdata, ,r,revision, , ,109,"Enable versioning of the shared library produced in  dll , or  library , mode"
pkgdata, ,F,rebuild, , ,110,Force the rebuilding of all data and their repackaging
pkgdata, ,I,install, , ,111,Install the packaged file (or all the files in the  files mode)
pkgdata, ,s,sourcedir, , ,112,Set the source directory to R source 
pkgdata, ,d,destdir, , ,113,Set the destination directory to R destination 
pkgdata, ,T,tempdir, , ,114,Set the directory used to generate temporary files to directory 
