cmd,conds,short,long,params,dirs,pri,desc
pv, ,p,progress, , ,101,Turn progress bar on
pv, ,t,timer, , ,102,Show timer
pv, ,e,eta, , ,103,Show estimated time left
pv, ,I,fineta, , ,104,Show estimated time of arrival
pv, ,r,rate, , ,105,Show rate counter
pv, ,a,average-rate, , ,106,Show average rate
pv, ,b,bytes, , ,107,Show total byte counter
pv, ,T,buffer-percent, , ,108,Show transfer buffer percentage
pv, ,A,last-written, , ,109,Show the last NUM bytes written
pv, ,F,format, ,@f @r,110,Set output format
pv, ,n,numeric, , ,111,Numeric output
pv, ,q,quiet, , ,112,No output
pv, ,W,wait, , ,113,Wait for first byte before showing progress
pv, ,D,delay-start, ,@f @r,114,Wait given time (in secs) before showing progress
pv, ,s,size, ,@f @r,115,Set total number of bytes to be transferred
pv, ,l,line-mode, , ,116,Count lines instead of bytes
pv, ,0,null, , ,117,Count null-terminated lines
pv, ,i,interval, ,@f @r,118,Wait given time (in secs) between updates
pv, ,w,width, ,@f @r,119,Set terminal width
pv, ,H,height, ,@f @r,120,Set terminal height
pv, , ,N, ,@f @r,121,Prefix output with given name
pv, ,f,force, , ,122,Force output
pv, ,c,cursor, , ,123,Use cursor positioning escape sequence instead of \r
pv, ,L,rate-limit, ,@f @r,124,Limit transfer rate
pv, ,B,buffer-size, ,@f @r,125,Use transfer buffer size (in bytes)
pv, ,C,no-splice, , ,126,Don't use slice
pv, ,E,skip-errors, , ,127,Ignore read errors
pv, ,S,stop-at-size, , ,128,Stop transfer after given number of bytes
pv, ,d,watchfd, ,@f @r,129,Watch file given description from given process (PID:FD)
pv, ,R,remote, ,@f @r,130,Change a running pv's options
pv, ,P,pidfile, ,@f @r,131,Save pv PID in given file
pv, ,h,help, , ,132,Show help and exit
pv, ,V,version, , ,133,Show version and exit
