cmd,conds,short,long,params,dirs,pri,desc
rg, ,e,regexp, , ,101, 
rg, ,f,file, , ,102, 
rg, , ,pre, , ,103, 
rg, , ,no-pre, , ,104,"WARNING When this flag is set, ripgrep will unconditionally spawn a process f…"
rg, , ,pre-glob, , ,105, 
rg, ,z,search-zip, , ,106, 
rg, ,s,case-sensitive, , ,107, 
rg, , ,crlf, , ,108, 
rg, , ,dfa-size-limit, , ,109, 
rg, ,E,encoding, , ,110, 
rg, , ,engine, , ,111, 
rg, ,F,fixed-strings, , ,112, 
rg, ,i,ignore-case, , ,113, 
rg, ,v,invert-match, , ,114, 
rg, , ,files-without-match, , ,115,matching lines
rg, ,x,line-regexp, , ,116, 
rg, ,m,max-count, , ,117, 
rg, , ,mmap, , ,118, 
rg, ,U,multiline, , ,119, 
rg, , ,multiline-dotall, , ,120,default.  This flag only applies when multiline search is enabled
rg, , ,no-unicode, , ,121, 
rg, , ,null-data, , ,122, 
rg, ,P,pcre2, , ,123, 
rg, , ,regex-size-limit, , ,124, 
rg, ,S,smart-case, , ,125, 
rg, , ,stop-on-nonmatch, , ,126, 
rg, ,a,text, , ,127, 
rg, ,j,threads, , ,128, 
rg, ,w,word-regexp, , ,129, 
rg, , ,auto-hybrid-regex, , ,130, 
rg, , ,no-pcre2-unicode, , ,131, 
rg, , ,binary, , ,132, 
rg, ,L,follow, , ,133, 
rg, , ,no-messages, , ,134, 
rg, ,g,glob, , ,135, 
rg, , ,glob-case-insensitive, , ,136, 
rg, , ,hidden, , ,137, 
rg, , ,iglob, , ,138, 
rg, , ,ignore-file, , ,139, 
rg, , ,ignore-file-case-insensitive, , ,140, 
rg, ,d,max-depth, , ,141, 
rg, , ,max-filesize, , ,142, 
rg, , ,no-ignore, , ,143, 
rg, , ,no-ignore-parent, , ,144, 
rg, , ,no-ignore-vcs, , ,145, 
rg, , ,no-ignore-dot, , ,146, 
rg, , ,no-ignore-files, , ,147, 
rg, , ,no-require-git, , ,148, 
rg, , ,one-file-system, , ,149, 
rg, ,t,type, , ,150, 
rg, ,T,type-not, , ,151, 
rg, , ,type-add, , ,152, 
rg, , ,type-clear, , ,153,of ripgrep
rg, ,u,unrestricted, , ,154, 
rg, ,A,after-context, , ,155, 
rg, ,B,before-context, , ,156, 
rg, , ,block-buffered, , ,157, 
rg, ,b,byte-offset, , ,158, 
rg, , ,color, , ,159, 
rg, , ,json, , ,160,The possible values for this flag are:
rg, , ,colors, , ,161, 
rg, , ,column, , ,162, 
rg, ,C,context, , ,163, 
rg, , ,context-separator, , ,164, 
rg, , ,no-context-separator, , ,165, 
rg, , ,field-context-separator, , ,166, 
rg, , ,field-match-separator, , ,167, 
rg, , ,heading, , ,168, 
rg, ,h,help, , ,169, 
rg, , ,hostname-bin, , ,170, 
rg, , ,hyperlink-format, , ,171, 
rg, , ,include-zero, , ,172, 
rg, , ,line-buffered, , ,173, 
rg, ,n,line-number, , ,174, 
rg, ,N,no-line-number, , ,175, 
rg, ,M,max-columns, , ,176, 
rg, , ,max-columns-preview, , ,177, 
rg, ,0,null, , ,178, 
rg, ,o,only-matching, , ,179, 
rg, , ,path-separator, , ,180, 
rg, , ,passthru, , ,181, 
rg, ,p,pretty, , ,182, 
rg, ,q,quiet, , ,183, 
rg, ,r,replace, , ,184, 
rg, , ,sort, , ,185, 
rg, , ,sortr, , ,186, 
rg, , ,trim, , ,187, 
rg, ,H,with-filename, , ,188, 
rg, ,I,no-filename, , ,189, 
rg, , ,sort-files, , ,190, 
rg, ,c,count, , ,191, 
rg, , ,count-matches, , ,192, 
rg, ,l,files-with-matches, , ,193, 
rg, , ,debug, , ,194, 
rg, , ,no-ignore-messages, , ,195, 
rg, , ,stats, , ,196, 
rg, , ,trace, , ,197, 
rg, , ,files, , ,198, 
rg, , ,generate, , ,199, 
rg, , ,no-config, , ,200, 
rg, , ,pcre2-version, , ,201, 
rg, , ,type-list, , ,202, 
rg, ,V,version, , ,203, 
