cmd,conds,short,long,params,dirs,pri,desc
ruby,,d,debug, , ,101,Debugger
ruby,,e, , ,@f @r,102,Execute command
ruby,,h,help, , ,103,Display help and exit
ruby,,r, , ,@r,104,Require file
ruby,,v,verbose, , ,105,Verbose mode
ruby,, ,version, , ,106,Display version and exit
ruby,,X, , ,@D @f @r,107,Directory
ruby,,y,yydebug, , ,108,Compiler debug mode
ruby,,0, , , ,109,Specify record separator
ruby,,a, , , ,110,Turn on autosplit mode
ruby,,c, , , ,111,Check syntax
ruby,,K, , , ,112,Kanji code-set
ruby,,F, , , ,113,Set regexp used to split input
ruby,,i, , , ,114,Edit files in-place
ruby,,I, , , ,115,Include path
ruby,,l, , , ,116,Automatic line ending processing
ruby,,n, , , ,117,Loop script
ruby,,s, , , ,118,Define custom switches
ruby,,T, , , ,119,Taint checking
ruby,,w, , , ,120,Verbose mode without message
ruby,,x, , , ,121,Extract script
ruby,,p, , , ,122,Loop script, print $_
ruby,,S, , , ,123,Search $PATH for script
