cmd,conds,short,long,params,dirs,pri,desc
ssh, , , , ,@k,101,Remote
ssh, ,e, ,\^ none, ,102,Escape character
ssh, ,l, , ,@f @r,103,User

ssh, ,a,,, ,104,Disables forwarding of the authentication agent
ssh, ,B,,, ,105,Bind to the address of that interface
ssh, ,b,,, ,106,Local address to bind to
ssh, ,D,,,@f @r,107,Specify dynamic port forwarding
ssh, ,E,,, ,108,Append debug logs to log_file
ssh, ,e,,, ,109,Escape character
ssh, ,f,,, ,110,Go to background
ssh, ,G,,, ,111,Print configuration after evaluating Host
ssh, ,g,,, ,112,Allow remote host to connect to local forwarded ports
ssh, ,I,,,@r,113,Specify the PKCS#11 library
ssh, ,K,,, ,114,Enables GSSAPI-based authentication
ssh, ,k,,, ,115,Disables forwarding of GSSAPI credentials
ssh, ,L,,,@f @r,116,Specify local port forwarding
ssh, ,M,,, ,117,Places the ssh client into master mode
ssh, ,m,,, ,118,MAC algorithm
ssh, ,N,,, ,119,Do not execute remote command
ssh, ,n,,, ,120,Prevent reading from stdin
ssh, ,O,,,@f @r,121,Control an active connection multiplexing master process
ssh, ,p,,,@f @r,122,Port
ssh, ,Q,,, ,123,List supported algorithms
ssh, ,R,,,@f @r,124,Specify remote/reverse port forwarding
ssh, ,S,,,@r,125,Location of a control socket for connection sharing
ssh, ,s,,, ,126,Subsystem
ssh, ,T,,, ,127,Disable pseudo-tty allocation
ssh, ,t,,, ,128,Force pseudo-tty allocation
ssh, ,V,,, ,129,Display version number
ssh, ,W,,,@f @r,130,Forward stdin/stdout to host:port over secure channel
ssh, ,w,,,@f @r,131,Requests tunnel device forwarding
ssh, ,X,,, ,132,Enable X11 forwarding
ssh, ,x,,, ,133,Disable X11 forwarding
ssh, ,Y,,, ,134,Enables trusted X11 forwarding
ssh, ,y,,, ,135,Send log information using syslog
ssh, , , , , ,136,Command to run

ssh,-ge 2, , , , ,137,Command to run
