cmd,conds,short,long,params,dirs,pri,desc
sysbench,, , ,run,@f,101,
sysbench,, ,num-threads, ,@f @r,102,The total number of worker threads to create (default: 1)
sysbench,, ,max-requests, ,@f @r,103,Limit for total number of requests. 0 means unlimited (default: 10000)
sysbench,, ,max-time, ,@f @r,104,Limit for total execution time in seconds. 0 means unlimited (default: 0)
sysbench,, ,thread-stack-size, ,@f @r,105,Size of stack for each thread (default: 32K)
sysbench,, ,init-rng,on off,@f,106,Specifies if random numbers generator should be initialized from timer (default: off)
sysbench,, ,test,,@f @r,107,Name of the test mode to run(required)
sysbench,, ,debug,on off,@f,108,Print more debug info (default: off)
sysbench,, ,validate,on off,@f,109,Perform validation of test results where possible (default: off)
sysbench,, ,help, , ,110,Print help on general syntax
sysbench,, ,version, , ,111,Show version of program
sysbench,, ,percentile, ,@f @r,112,A percentile rank of query execution times to count (default: 95)
sysbench,, ,batch,on off,@f,113,Dump current results periodically (default: off)
sysbench,, ,batch-delay, ,@f @r,114,Delay between batch dumps in seconds (default: 300)
sysbench,test=fileio, , ,prepare cleanup, ,115,
sysbench,test=cpu, ,cpu-max-prime, ,@f @r,117,Calculation of prime numbers up to the specified value
sysbench,test=mutex, ,memory-oper,read write,@f @r,118,Type of memory operations
sysbench,test=fileio, ,file-test-mode,seqwr seqrewr seqrd rndrd rndwr rndrw,@f @r,119,Type of workload to produce
sysbench,oltp-dist-type=special, ,oltp-dist-pct, ,@f @r,120,Percentage of values to be treated as
sysbench,oltp-dist-type=special, ,oltp-dist-res, ,@f @r,121,Percentage of cases when
sysbench,test=oltp, ,mysql-socket, , ,122,Unix socket file to communicate with the MySQL server
sysbench,test=oltp, ,mysql-password, ,@f @r,123,MySQL password
sysbench,test=oltp, ,mysql-table-engine,myisam innodb heap ndbcluster bdb maria falcon pbxt,@f @r,124,Type of the test table to use
sysbench,test=oltp, ,mysql-create-options, , ,125,Additional options passed to CREATE TABLE.
sysbench,, ,test,cpu threads mutex fileio oltp,@f @r,126,Name of the test mode to run(required)
sysbench,test=threads, ,thread-yields, ,@f @r,127,Number of lock/yield/unlock loops to execute per each request (default: 1000)
sysbench,test=threads, ,thread-locks, ,@f @r,128,Number of mutexes to create (default: 8)
sysbench,test=mutex, ,mutex-num, ,@f @r,129,Number of mutexes to create (default: 4096)
sysbench,test=mutex, ,memory-scope,local global,@f @r,130,Specifies whether each thread uses a global or local allocation (default:global)
sysbench,test=mutex, ,memory-total-size, ,@f @r,131,Total size of data to transfer (default: 100G)
sysbench,test=fileio, ,file-num, ,@f @r,132,Number of files to create (default: 128)
sysbench,test=fileio, ,file-block-size, ,@f @r,133,Block size to use in all I/O operations (default: 16K)
sysbench,test=fileio, ,file-total-size, ,@f @r,134,Total size of files (default: 2G)
sysbench,test=fileio, ,file-io-mode,sync async fastmmap slowmmap,@f @r,135,I/O mode (default: sync)
sysbench,test=fileio, ,file-async-backlog, ,@f @r,136,Number of asynchronous operations to queue per thread (default: 128)
sysbench,test=fileio, ,file-extra-flags, ,@f @r,137,Additional flags to use with open(2)
sysbench,test=fileio, ,file-fsync-freq, ,@f @r,138,Do fsync() after this number of requests (default: 0)
sysbench,test=fileio, ,file-fsync-all,yes no,@f,139,Do fsync() after each write operation (default: no)
sysbench,test=fileio, ,file-fsync-end,yes no,@f,140,Do fsync() at the end of the test (default: yes)
sysbench,test=fileio, ,file-fsync-mode,fsync fdatasync,@f @r,141,Method used for synchronization: fsync, fdatasync (default: fsync)
sysbench,test=fileio, ,file-merged-requests, ,@f @r,142,Upper limit of I/O requests merge (default: 0)
sysbench,test=fileio, ,file-rw-ratio, ,@f @r,143,reads/writes ratio for combined random read/write test (default: 1.5)
sysbench,test=oltp, ,oltp-test-mode,simple complex nontrx,@f @r,144,Execution mode: simple, complex and nontrx(non-transactional)(default: complex)
sysbench,test=oltp, ,oltp-read-only,on off,@f,145,Read-only mode. No UPDATE, DELETE or INSERT queries will be performed. (default: off)
sysbench,test=oltp, ,oltp-range-size, ,@f @r,146,Range size for range queries (default: 100)
sysbench,test=oltp, ,oltp-point-selects, ,@f @r,147,Number of point select queries in a single transaction (default: 10)
sysbench,test=oltp, ,oltp-simple-ranges, ,@f @r,148,Number of simple range queries in a single transaction (default: 1)
sysbench,test=oltp, ,oltp-sum-ranges, ,@f @r,149,Number of SUM range queries in a single transaction (default: 1)
sysbench,test=oltp, ,oltp-order-ranges, ,@f @r,150,Number of ORDER range queries in a single transaction (default: 1)
sysbench,test=oltp, ,oltp-distinct-ranges, ,@f @r,151,Number of DISTINCT range queries in a single transaction (default: 1)
sysbench,test=oltp, ,oltp-index-updates, ,@f @r,152,Number of index UPDATE queries in a single transaction (default: 1)
sysbench,test=oltp, ,oltp-non-index-updates, ,@f @r,153,Number of non-index UPDATE queries in a single transaction (default: 1)
sysbench,test=oltp, ,oltp-nontrx-mode,select update_key update_nokey insert delete,@f @r,154,Type of queries for non-transactional execution mode (default: select)
sysbench,test=oltp, ,oltp-connect-delay, ,@f @r,155,Time to sleep(in microseconds) after each connection to database (default: 10000)
sysbench,test=oltp, ,oltp-user-delay-min, ,@f @r,156,Minimum time to sleep(in microseconds) after each request (default: 0)
sysbench,test=oltp, ,oltp-user-delay-max, ,@f @r,157,Maximum time to sleep(in microseconds) after each request (default: 0)
sysbench,test=oltp, ,oltp-table-name, ,@f @r,158,Name of the test table (default: sbtest)
sysbench,test=oltp, ,oltp-table-size, ,@f @r,159,Number of rows in the test table (default: 10000)
sysbench,test=oltp, ,oltp-dist-type,uniform gauss special,@f @r,160,Distribution type of random numbers (default: special)
sysbench,test=oltp, ,db-ps-mode,disable auto,@f @r,161,Use 'Prepared Statements' API if supported, otherwise - use clientside statements: disable, auto (default: auto)
sysbench,test=oltp, ,mysql-host, ,@E @f @r,162,cut -d' ' -f2 /etc/hosts &?
sysbench,test=oltp, ,mysql-port, ,@f @r,163,MySQL server port (default: 3306)
sysbench,test=oltp, ,mysql-user, ,@f @r,164,MySQL user (default: sbtest)
sysbench,test=oltp, ,mysql-db, ,@f @r,165,MySQL database name (default: sbtest)
sysbench,test=oltp, ,mysql-ssl,yes no,@f @r,166,Use SSL connections. (default: no)
sysbench,test=oltp, ,myisam-max-rows, ,@f @r,167,MAX_ROWS option for MyISAM tables (required for big tables) (default: 1000000)
