cmd,conds,short,long,params,dirs,pri,desc
tofu,, , , ,@f,102,Show help
tofu,console, , , ,@r,116,Path to a OpenTofu state file
tofu,providers, , ,lock mirror schema,@f,195,
tofu,state, , ,list,@f,212,List resources in state
tofu,state, , ,ls,@f,213,List resources in state
tofu,state, , ,mv,@f,214,Move an item in the state
tofu,state, , ,move,@f,215,Move an item in the state
tofu,state, , ,pull,@f,216,Pull current state and output to stdout
tofu,state, , ,push,@f,217,Update remote state from local state
tofu,state, , ,replace-provider,@f,218,Replace provider in the state
tofu,state, , ,rm,@f,219,Remove instance from the state
tofu,state, , ,remove,@f,220,Remove instance from the state
tofu,state, , ,show,@f,221,Show a resource in the state
tofu,, , ,apply,@f,248,Build or change infrastructure
tofu,, , ,destroy,@f,249,Destroy infrastructure
tofu,, , ,console,@f,250,Interactive console for OpenTofu interpolations
tofu,, , ,fmt,@f,251,Rewrite config files to canonical format
tofu,, , ,get,@f,252,Download and install modules for the configuration
tofu,, , ,graph,@f,253,Create a visual graph of OpenTofu resources
tofu,, , ,import,@f,254,Import existing infrastructure into OpenTofu
tofu,, , ,init,@f,255,Initialize a new or existing OpenTofu configuration
tofu,, , ,login,@f,256,Retrieves auth token for the given hostname
tofu,, , ,logout,@f,257,Removes auth token for the given hostname
tofu,, , ,output,@f,258,Read an output from a state file
tofu,, , ,plan,@f,259,Generate and show an execution plan
tofu,, , ,providers,@f,260,Print tree of modules with their provider requirements
tofu,, , ,refresh,@f,261,Update local state file against real resources
tofu,, , ,state,@r,263,Advanced state management
tofu,, , ,taint,@f,264,Manually mark a resource for recreation
tofu,, , ,test,@f,265,Runs automated test of shared modules
tofu,, , ,untaint,@f,266,Manually unmark a resource as tainted
tofu,, , ,validate,@f,267,Validate the OpenTofu files
tofu,, , ,version,@f,268,Print the OpenTofu version
tofu,, , ,workspace,@f,269,Workspace management
