cmd,conds,short,long,params,dirs,pri,desc
tree,,L, , ,@f @r,101,Descend only level directories deep
tree,,P, , ,@r,102,List only those files that match the pattern given
tree,,I, , ,@r,103,Do not list files that match the given pattern
tree,, ,gitignore, , ,104,Filter by using .gitignore files
tree,, ,ignore-case, , ,105,Ignore case when pattern matching
tree,, ,matchdirs, , ,106,Include directory names in -P pattern matching
tree,, ,metafirst, , ,107,Print meta-data at the beginning of each line
tree,, ,prune, , ,108,Prune empty directories from the output
tree,, ,info, , ,109,Print information about files found in .info files
tree,, ,noreport, , ,110,Turn off file/directory count at end of tree listing
tree,, ,charset, ,@f @r,111,Use charset X for terminal/HTML and indentation line output
tree,, ,filelimit, ,@r,112,Do not descend dirs with more than # files in them
tree,,o, , ,@r,113,Output to file instead of stdout
tree,, ,si, , ,114,Like -h, but use in SI units (powers of 1000)
tree,, ,du, , ,115,Compute size of directories by their contents
tree,, ,timefmt, ,@f @r,116,Print and format time according to the format <f>
tree,, ,inodes, , ,117,Print inode number of each file
tree,, ,device, , ,118,Print device ID number to which each file belongs
tree,, ,dirsfirst, , ,119,List directories before files (-U disables)
tree,, ,filesfirst, , ,120,List files before directories (-U disables)
tree,, ,sort,name version size mtime ctime, ,121,Select sort
tree,,H, , ,@r,122,Prints out HTML format with baseHREF as top directory
tree,,T, , ,@r,123,Replace the default HTML title and H1 header with string
tree,, ,nolinks, , ,124,Turn off hyperlinks in HTML output
tree,, ,fromfile, ,@r,125,Reads paths from files (.=stdin)
tree,, ,version, , ,126,Print version and exit
tree,, ,help, , ,127,Print usage and this help message and exit
tree,,a, , , ,128,All files are listed
tree,,d, , , ,129,List directories only
tree,,l, , , ,130,Follow symbolic links like directories
tree,,f, , , ,131,Print the full path prefix for each file
tree,,x, , , ,132,Stay on current filesystem only
tree,,R, , , ,133,Rerun tree when max dir level reached
tree,,q, , , ,134,Print non-printable characters as
tree,,N, , , ,135,Print non-printable characters as is
tree,,Q, , , ,136,Quote filenames with double quotes
tree,,p, , , ,137,Print the protections for each file
tree,,u, , , ,138,Displays file owner or UID number
tree,,g, , , ,139,Displays file group owner or GID number
tree,,s, , , ,140,Print the size in bytes of each file
tree,,h, , , ,141,Print the size in a more human readable way
tree,,F, , , ,142,Appends
tree,,v, , , ,143,Sort files alphanumerically by version
tree,,t, , , ,144,Sort files by last modification time
tree,,c, , , ,145,Sort files by last status change time
tree,,U, , , ,146,Leave files unsorted
tree,,r, , , ,147,Reverse the order of the sort
tree,, ,sort, , ,148,Select sort
tree,,i, , , ,149,Don
tree,,A, , , ,150,Print ANSI lines graphic indentation lines
tree,,C, , , ,151,Turn colorization on always
tree,,X, , , ,152,Prints out an XML representation of the tree
tree,,J, , , ,153,Prints out an JSON representation of the tree
tree,,D, , , ,154,Print the date of last modification or (-c) status change
tree,,S, , , ,155,Print with CP437 (console) graphics indentation lines
tree,,n, , , ,156,Turn colorization off always (-C overrides)
