cmd,conds,short,long,params,dirs,pri,desc
unzstd, , , ,,@f @k @r,101, 
unzstd, ,t,test, , ,102,Test the integrity
unzstd, , ,train, ,@r,103,Create a dictionary from specified file(s)
unzstd, ,l,list, , ,104,List information about .zst file(s)
unzstd, , ,long, , ,105,Enable long distance matching with specified windowLog
unzstd, , ,single-thread, , ,106,Single-thread mode
unzstd, ,D, , ,@r,107,Use specified file as dictionary
unzstd, ,o, , ,@r,108,Specify file to save
unzstd, ,f,force, , ,109,Overwrite without prompting
unzstd, ,c,stdout, , ,110,Force write to stdout
unzstd, , ,sparse, , ,111,Enable sparse mode
unzstd, , ,no-sparse, , ,112,Disable sparse mode
unzstd, , ,rm, , ,113,Remove input file(s) after decompression
unzstd, ,k,keep, , ,114,Keep input file(s) (default)
unzstd, , ,filelist, , ,115,Read a list of files
unzstd, , ,output-dir-flat, , ,116,Specify a directory to output all files
unzstd, , ,format='$format', , ,117,Specify the format to use for decompression
unzstd, ,h,help, , ,118,Show help
unzstd, ,V,version, , ,119,Show version
unzstd, ,v,verbose, , ,120,Be verbose
unzstd, ,q,quiet, , ,121,Suppress warnings
unzstd, , ,no-progress, , ,122,Do not show the progress bar
