cmd,conds,short,long,params,dirs,pri,desc
uu-sha512sum, ,b,binary, , ,101,read in binary mode
uu-sha512sum, ,c,check, , ,102,read hashsums from the FILEs and check them
uu-sha512sum, , ,tag, , ,103,create a BSD-style checksum
uu-sha512sum, ,t,text, , ,104,read in text mode (default)
uu-sha512sum, ,q,quiet, , ,105,don't print OK for each successfully verified file
uu-sha512sum, ,s,status, , ,106,"don't output anything, status code shows success"
uu-sha512sum, , ,strict, , ,107,exit non-zero for improperly formatted checksum lines
uu-sha512sum, , ,ignore-missing, , ,108,don't fail or report status for missing files
uu-sha512sum, ,w,warn, , ,109,warn about improperly formatted checksum lines
uu-sha512sum, ,z,zero, , ,110,"end each output line with NUL, not newline"
uu-sha512sum, ,h,help, , ,111,Print help
uu-sha512sum, ,V,version, , ,112,Print version
