cmd,conds,short,long,params,dirs,pri,desc
vim-addons,,h,help, , ,109,show this usage message and exit
vim-addons,,q,query, , ,110,be quiet and make the output more parseable
vim-addons,,r,registry-dir, , ,111,set the registry directory
vim-addons,,s,source-dir, , ,112,set the addons source directory
vim-addons,,t,target-dir, , ,113,set the addons target directory
vim-addons,,v,verbose, , ,114,increase verbosity
vim-addons,,y,system-dir, , ,115,set the system-wide target directory
vim-addons,,w,system-wide, , ,116,set target directory to the system-wide one
vim-addons,, , ,list,@f,117,list the names of the addons available in the system
vim-addons,, , ,status,@f,118,show the status of the addons available in the system
vim-addons,, , ,install,@f @r,119,install one or more addons under ~/.vim
vim-addons,, , ,remove,@f @r,120,remove one or more addons from ~/.vim
vim-addons,, , ,disable,@f @r,121,disable  one  or more addons to be used by the current user
vim-addons,, , ,amend,@f @r,122,undo the effects of a previous disable command
vim-addons,, , ,files,@f @r,123,list, one per line, the files composing the specified addons
vim-addons,, , ,show,@f @r,124,displays detailed information about the specified addons
vim-addons,status, , , ,@E @f @r,125,vim-addons list
