cmd,conds,short,long,params,dirs,pri,desc
xdg-mime, query default install uninstall, , ,query default install uninstall, ,100,
xdg-mime," query; and filetype default", , ,filetype default, ,100,Query information
xdg-mime, , ,help, , ,104,Display help
xdg-mime, , ,manual, , ,105,Display long help
xdg-mime, , ,version, , ,106,Print version

xdg-mime,query default install uninstall, , , ,@n,107,
xdg-mime,query filetype default, , , , ,108,Query information
xdg-mime,query default -- (commandline -cxp), , , , ,109,Query default application for type
xdg-mime,query filetype -- (commandline -cxp), , , ,@r,110,Query file
xdg-mime,default (commandline -xpc|count) -eq 2, , , , ,111,Choose application
xdg-mime,default (commandline -xpc|count) -ge 3, , , , ,112,Mimetype
xdg-mime,xdg-mime install -- (commandline -cxp), , , ,@r,113,Add filetype description
xdg-mime,xdg-mime install -- (commandline -cxp), ,mode, , ,114,Set mode
xdg-mime,xdg-mime install -- (commandline -cxp), ,novendor, , ,115,Disable vendor check
xdg-mime,xdg-mime uninstall -- (commandline -cxp), , , ,@r,116,Remove filetype description
xdg-mime,xdg-mime uninstall -- (commandline -cxp), ,mode, , ,117,Set mode
