cmd,conds,short,long,params,dirs,pri,desc
xxh64sum, ,V,version, , ,101,Displays xxhsum version and exits 
xxh64sum, , ,binary, , ,102,Read in binary mode
xxh64sum, , ,tag, , ,103,Output in the BSD style
xxh64sum, , ,little-endian, , ,104,Set output hexadecimal checksum value as little endian convention
xxh64sum, ,h,help, , ,105,Displays help and exits 
xxh64sum, ,c,check, , ,106,Read xxHash sums from FILE and check them 
xxh64sum, ,q,quiet, , ,107,Don't print OK for each successfully verified file 
xxh64sum, , ,strict, , ,108,"Return an error code if any line in the file is invalid, not just if some che…"
xxh64sum, , ,status, , ,109,Don't output anything.  Status code shows success
xxh64sum, ,w,warn, , ,110,Emit a warning message about each improperly formatted checksum line
