cmd,conds,short,long,params,dirs,pri,desc
zig,env help targets version zen,h,help, ,@f @r,100,Print command-specific usage
zig,build,p,prefix, ,@r,129,Where to install files (default: zig-out)
zig,build, ,prefix-lib-dir, ,@r,130,Where to install libraries
zig,build, ,prefix-exe-dir, ,@r,131,Where to install executables
zig,build, ,prefix-include-dir, ,@r,132,Where to install C header files
zig,build, ,release,fast safe small,@f @r,133,Request release mode
zig,build, , , ,@f,134,Integrate with system-installed Darling
zig,build, ,glibc-runtimes, ,@r,138,Enhances QEMU integration
zig,build,l,list-steps, ,@f,145,Print available steps
zig,build, ,verbose, ,@f,146,Print commands before executing them
zig,build, ,color,auto off on,@f @r,147,Enable/Disable colored error messages
zig,build, ,prominent-compile-errors, ,@f,148,Output human-readable compile errors
zig,build, ,summary,,@f @r,149,Control the printing of the build summary
zig,build,j, , ,@f,150,Limit concurrent jobs (default is to use all CPU cores)
zig,build, ,maxrss, ,@f,151,Limit memory usage (default is to use available memory)
zig,build, ,skip-oom-steps, ,@f,152,skip steps that would exceed --maxrss
zig,build, ,fetch, ,@f,153,Exit after fetching dependency tree
zig,build, , , ,@f @r,154,Specify the compilation target
zig,build, , , ,@r,156,Path to interpreter on the target system
zig,build, , ,Debug ReleaseSafe ReleaseFast ReleaseSmall,@f @r,157,Optimizations on and safety on
zig,build, ,search-prefix, ,@r,158,Add a path to look for binaries, libraries, headers
zig,build, ,sysroot, ,@r,159,Set the system root directory (usually /)
zig,build, ,libc, ,@r,160,Provide a file which specifies libc paths
zig,build, ,system, ,@r,161,Disable package fetching; enable all integrations
zig,build, ,build-file, ,@r,164,Override path to `build.zig`
zig,build, ,cache-dir, ,@r,165,Override path to zig cache directory
zig,build, ,global-cache-dir, ,@r,166,Override path to global Zig cache directory
zig,build, ,zig-lib-dir, ,@r,167,Override path to Zig lib directory
zig,build, ,build-runner, ,@r,168,Override path to build runner
zig,build, ,seed, ,@f @r,169,For shuffling dependency traversal order (default: random)
zig,build, ,debug-log, ,@f @r,170,Enable debugging the compiler
zig,build, ,debug-pkg-config, ,@f,171,Fail if unknown pkg-config flags encountered
zig,build, ,verbose-link, ,@f,172,Enable compiler debug output for linking
zig,build, ,verbose-air, ,@f,173,Enable compiler debug output for Zig AIR
zig,build, ,verbose-llvm-ir, ,@f,174,Enable compiler debug output for LLVM IR
zig,build, ,verbose-llvm-bc, ,@f,175,Enable compiler debug output for LLVM BC
zig,build, ,verbose-cimport, ,@f,176,Enable compiler debug output for C imports
zig,build, ,verbose-cc, ,@f,177,Enable compiler debug output for C compilation
zig,build, ,verbose-llvm-cpu-features, ,@f,178,Enable compiler debug output for LLVM CPU features
zig,fmt, ,stdin, , ,254,Use stdin and stdout for I/O
zig,fmt, ,check, , ,255,Check if the input is formatted
zig,fmt, ,ast-check, , ,256,Run `zig ast-check` on every file
zig,, , ,build,@f @r,258,Build project from build.zig
zig,, , ,fetch,@f @r,259,Copy a package into global cache and print its hash
zig,, , ,init,@f @r,260,Initialize a Zig package in the current directory
zig,, , ,build-exe,@f @r,261,Create executable from source or object files
zig,, , ,build-lib,@f @r,262,Create library from source or object files
zig,, , ,build-obj,@f @r,263,Create object from source or object files
zig,, , ,test,@f @r,264,Perform unit testing
zig,, , ,run,@f @r,265,Create executable and run immediately
zig,, , ,ast-check,@f @r,266,Look for simple compile errors in any set of files
zig,, , ,fmt,@f @r,267,Reformat Zig source into canonical form
zig,, , ,reduce,@f @r,268,Minimize a bug report
zig,, , ,translate-c,@f @r,269,Convert C code to Zig code
zig,, , ,ar,@f @r,270,Use Zig as a drop-in archiver
zig,, , ,cc,@f @r,271,Use Zig as a drop-in C compiler
zig,, , ,c++,@f @r,272,Use Zig as a drop-in C++ compiler
zig,, , ,dlltool,@f @r,273,Use Zig as a drop-in dlltool.exe
zig,, , ,lib,@f @r,274,Use Zig as a drop-in lib.exe
zig,, , ,ranlib,@f @r,275,Use Zig as a drop-in ranlib
zig,, , ,objcopy,@f @r,276,Use Zig as a drop-in objcopy
zig,, , ,rc,@f @r,277,Use Zig as a drop-in rc.exe
zig,, , ,env,@f @r,278,Print lib path, std path, cache directory, and version
zig,, , ,help,@f @r,279,Print help for `zig`
zig,, , ,std,@f @r,280,View standard library documentation in a browser
zig,, , ,libc,@f @r,281,Display native libc paths file or validate one
zig,, , ,targets,@f @r,282,List available compilation targets
zig,, , ,version,@f @r,283,Print version number
zig,, , ,zen,@f @r,284,Print Zen of Zig
zig,ast-check,t, , , ,285,Output ZIR in text form to stdout
zig,cc c++, , , ,@E,286,__fish_complete_zig_cc_and_cpp
zig,build &&, , ,install uninstall run test unzip,@f @r,287,
zig,build, ,summary,failures all new none,@f @r,288,Control the printing of the build summary
