cmd,conds,short,long,params,dirs,pri,desc
btrfs, __fish_is_first_arg, , ,check,@f,102,Check structural integrity of a filesystem (unmounted).
btrfs, __fish_is_first_arg, , ,restore,@f,103,Try to restore files from a damaged filesystem (unmounted)
btrfs, __fish_is_first_arg, , ,send,@f,104,Send the subvolume(s) to stdout.
btrfs, __fish_is_first_arg, , ,receive,@f,105,Receive subvolumes from a stream
btrfs, __fish_is_first_arg, , ,help,@f,106,Display help information
btrfs, __fish_is_first_arg, , ,version,@f,107,Display btrfs-progs version
btrfs, __fish_is_first_arg, , ,subvolume,@f,108,"manage subvolumes: create, delete, list, etc"
btrfs, __fish_is_first_arg, , ,filesystem,@f,109,overall filesystem tasks and information
btrfs, __fish_is_first_arg, , ,balance,@f,110,"balance data across devices, or change block groups using filters"
btrfs, __fish_is_first_arg, , ,device,@f,111,manage and query devices in the filesystem
btrfs, __fish_is_first_arg, , ,scrub,@f,112,verify checksums of data and metadata
btrfs, __fish_is_first_arg, , ,rescue,@f,113,toolbox for specific rescue operations
btrfs, __fish_is_first_arg, , ,inspect-internal,@f,114,query various internal information
btrfs, __fish_is_first_arg, , ,property,@f,115,modify properties of filesystem objects
btrfs, __fish_is_first_arg, , ,quota,@f,116,manage filesystem quota settings
btrfs, __fish_is_first_arg, , ,qgroup,@f,117,manage quota groups
btrfs, __fish_is_first_arg, , ,replace,@f,118,replace a device in the filesystem
btrfs, $check,s,super, ,@f,119,Use this SUPERBLOCK copy
btrfs, $check,b,backup, ,@f,120,Use the first valid BACKUP root copy
btrfs, $check,r,tree-root, ,@f,121,Use the given bytenr for the TREE root
btrfs, $check, ,chunk-root, ,@f,122,Use the given bytenr for the CHUNK-TREE root
btrfs, $check, ,readonly, ,@f,123,Run in read-only mode
btrfs, $check, ,repair, ,@f,124,Try to repair the filesystem
btrfs, $check, ,force, ,@f,125,"Skip mount checks, repair is not possible"
btrfs, $check, ,mode,{original,lowmem},@f,126,Allows choice of memory/IO trade-offs
btrfs, $check, ,init-csum-tree, ,@f,127,Create a new CRC tree (repair only)
btrfs, $check, ,init-extent-tree, ,@f,128,Create a new extent tree (repair only)
btrfs, $check, ,clear-space-cache,{v1,v2},@f,129,clear space cache (repair only)
btrfs, $check, ,check-data-csum, ,@f,130,Verify checksums of data blocks
btrfs, $check,Q,qgroup-report, ,@f,131,Print a report on qgroup consistency
btrfs, $check,E,subvol-extents, ,@f,132,Print subvolume extents and sharing state
btrfs, $check,p,progress, ,@f,133,Indicate progress
btrfs, $restore,s,snapshots, ,@f,134,Get snapshots
btrfs, $restore,x,xattr, ,@f,135,Restore extended attributes
btrfs, $restore,m,metadata, ,@f,136,"Restore owner, mode and times"
btrfs, $restore,S,symlink, ,@f,137,Restore symbolic links
btrfs, $restore,v,verbose, ,@f,138,Verbose
btrfs, $restore,i,ignore-errors, ,@f,139,Ignore errors
btrfs, $restore,o,overwrite, ,@f,140,Overwrite
btrfs, $restore,t, , ,@f @r,141,Tree location
btrfs, $restore,f, , ,@f @r,142,Filesystem location
btrfs, $restore,u,super, ,@f @r,143,Super mirror
btrfs, $restore,r,root, ,@f @r,144,Root objectid
btrfs, $restore,d, , ,@f,145,Find dir
btrfs, $restore,l,list-roots, ,@f,146,List tree roots
btrfs, $restore,D,dry-run, ,@f,147,Only list files that would be recovered
btrfs, $restore, ,path-regex, ,@f @r,148,Restore only filenames matching regex
btrfs, $restore,c, , ,@f,149,Ignore case (--path-regex only)
btrfs, $send,e, , ,@f,150,
btrfs, $send,p, , ,@f @r,151,Send an incremental stream from <parent> to <subvol>
btrfs, $send,c, , ,@f @r,152,Use this snapshot as a clone source for an incremental send
btrfs, $send,f, , ,@f @r,153,Output is normally written to stdout
btrfs, $send, ,no-data, ,@f,154,send in NO_FILE_DATA mode
btrfs, $send,v,verbose, ,@f,155,Enable verbose output to stderr
btrfs, $send,q,quiet, ,@f,156,"Suppress all messages, except errors"
btrfs, $send, ,proto,0 1 2,@f @r,157,Use send protocol version
btrfs, $send, ,compressed-data, ,@f,158,Send compressed data directly
btrfs, $receive,v, , ,@f,159,Increase verbosity about performed actions
btrfs, $receive,q,quiet, ,@f,160,"Suppress all messages, except errors"
btrfs, $receive,f, , ,@f @r,161,Read the stream from FILE instead of stdin
btrfs, $receive,e, , ,@f,162,Terminate after receiving an <end cmd> marker in the stream
btrfs, $receive,C,chroot, ,@f,163,Confine the process to <mount> using chroot
btrfs, $receive,E,max-errors, ,@f @r,164,Terminate when NUMBER errors occur
btrfs, $receive,m, , ,@f @r,165,The root mount point of the destination filesystem
btrfs, $receive, ,force-decompress, ,@f @r,166,Always decompress data
btrfs, $receive, ,dump, ,@f,167,Dump stream metadata
btrfs, $help, ,full, ,@f,168,Display detailed help on every command
btrfs, $help, ,box, ,@f,169,Show list of built-in tools (busybox style)
btrfs, $subvolume, , ,create,@f,170,Create a subvolume
