cmd,conds,short,long,params,dirs,pri,desc
cf, __fish_use_subcommand, , ,help,@f,101,Show help
cf, __fish_use_subcommand, , ,version,@f,102,Print the version
cf, __fish_use_subcommand, , ,login,@f,103,Log user in
cf, __fish_use_subcommand, , ,logout,@f,104,Log user out
cf, __fish_use_subcommand, , ,passwd,@f,105,Change user password
cf, __fish_use_subcommand, , ,target,@f,106,Set or view the targeted org or space
cf, __fish_use_subcommand, , ,api,@f,107,Set or view target api url
cf, __fish_use_subcommand, , ,auth,@f,108,Authenticate user non-interactively
cf, __fish_use_subcommand, , ,apps,@f,109,List all apps in the target space
cf, __fish_use_subcommand, , ,app,@f,110,Display health and status for an app
cf, __fish_use_subcommand, , ,push,@f,111,Push a new app or sync changes to an existing app
cf, __fish_use_subcommand, , ,scale,@f,112,"Change or view the instance count, disk space limit, and memory limit for an app"
cf, __fish_use_subcommand, , ,delete,@f,113,Delete an app
cf, __fish_use_subcommand, , ,rename,@f,114,Rename an app
cf, __fish_use_subcommand, , ,start,@f,115,Start an app
cf, __fish_use_subcommand, , ,stop,@f,116,Stop an app
cf, __fish_use_subcommand, , ,restart,@f,117,"Stop all instances of the app, then start them again"
cf, __fish_use_subcommand, , ,restage,@f,118,Recreate the app's executable artifact using the latest pushed app files and environment
cf, __fish_use_subcommand, , ,restart-app-instance,@f,119,"Terminate, then restart an app instance"
cf, __fish_use_subcommand, , ,run-task,@f,120,Run a one-off task on an app
cf, __fish_use_subcommand, , ,tasks,@f,121,List tasks of an app
cf, __fish_use_subcommand, , ,terminate-task,@f,122,Terminate a running task of an app
cf, __fish_use_subcommand, , ,events,@f,123,Show recent app events
cf, __fish_use_subcommand, , ,files,@f,124,Print out a list of files or contents of a specific file of an app running on the DEA backend
cf, __fish_use_subcommand, , ,logs,@f,125,Tail or show recent logs for an app
cf, __fish_use_subcommand, , ,env,@f,126,Show all env variables for an app
cf, __fish_use_subcommand, , ,set-env,@f,127,Set an env variable for an app
cf, __fish_use_subcommand, , ,unset-env,@f,128,Remove an env variable
cf, __fish_use_subcommand, , ,stacks,@f,129,"List all stacks (stack is a pre-built file system, including an OS, to run apps)"
cf, __fish_use_subcommand, , ,stack,@f,130,"Show stack info (stack is a pre-built file system, including an OS, to run apps)"
cf, __fish_use_subcommand, , ,copy-source,@f,131,Copy the source to another existing app (and restart that)
cf, __fish_use_subcommand, , ,create-app-manifest,@f,132,Create an app manifest for an app that has been pushed successfully
cf, __fish_use_subcommand, , ,get-health-check,@f,133,Show the type of health check performed on an app
cf, __fish_use_subcommand, , ,set-health-check,@f,134,Change type of health check performed on an app
cf, __fish_use_subcommand, , ,enable-ssh,@f,135,Enable ssh for the application
cf, __fish_use_subcommand, , ,disable-ssh,@f,136,Disable ssh for the application
cf, __fish_use_subcommand, , ,ssh-enabled,@f,137,Reports whether SSH is enabled on an application container instance
cf, __fish_use_subcommand, , ,ssh,@f,138,SSH to an application container instance
cf, __fish_use_subcommand, , ,marketplace,@f,139,List available offerings in the marketplace
cf, __fish_use_subcommand, , ,services,@f,140,List all service instances in the target space
cf, __fish_use_subcommand, , ,service,@f,141,Show service instance info
cf, __fish_use_subcommand, , ,create-service,@f,142,Create a service instance
cf, __fish_use_subcommand, , ,update-service,@f,143,Update a service instance
cf, __fish_use_subcommand, , ,delete-service,@f,144,Delete a service instance
cf, __fish_use_subcommand, , ,rename-service,@f,145,Rename a service instance
cf, __fish_use_subcommand, , ,create-service-key,@f,146,Create key for a service instance
cf, __fish_use_subcommand, , ,service-keys,@f,147,List keys for a service instance
cf, __fish_use_subcommand, , ,service-key,@f,148,Show service key info
cf, __fish_use_subcommand, , ,delete-service-key,@f,149,Delete a service key
cf, __fish_use_subcommand, , ,bind-service,@f,150,Bind a service instance to an app
cf, __fish_use_subcommand, , ,unbind-service,@f,151,Unbind a service instance from an app
cf, __fish_use_subcommand, , ,bind-route-service,@f,152,Bind a service instance to an HTTP route
cf, __fish_use_subcommand, , ,unbind-route-service,@f,153,Unbind a service instance from an HTTP route
