cmd,conds,short,long,params,dirs,pri,desc
go, $__go_cmds_w_buildflags,p, , ,@r,101,number parallel builds (default=#cpus)
go, $__go_cmds_w_buildflags, , ,archive c-archive c-shared default shared exe pie plugin,@f @r,102,build mode to use
go, $__go_cmds_w_buildflags, , ,gccgo gc,@f @r,103,"name of compiler to use, as in runtime"
go, $__go_cmds_w_buildflags, , , ,@r,104,gccgo compiler/linker flags
go, $__go_cmds_w_buildflags, , , ,@r,105,go compiler flags
go, $__go_cmds_w_buildflags, , , ,@r,106,suffix for installation directory
go, $__go_cmds_w_buildflags, , , ,@r,107,linker flags
go, $__go_cmds_w_buildflags, , , ,@r,108,link against shared libraries previously created with -buildmode=shared
go, $__go_cmds_w_buildflags, , ,readonly vendor mod,@f @r,109,module download mode to use
go, $__go_cmds_w_buildflags, , , ,@r,110,read (and possibly write) an alternate go.mod
go, $__go_cmds_w_buildflags, , , ,@r,111,install and load all packages from dir instead of the usual locations
go, $__go_cmds_w_buildflags, , , ,@r,112,build tags
go, $__go_cmds_w_buildflags, , , ,@r,113,a program to use to invoke toolchain programs
go, $__go_cmds_w_buildflags, , ,readonly vendor,@f @r,114,module download mode to use
go, build compile fix fmt install test vet, , ,(,@f @k @r,115, 
go, build doc fix fmt install test vet, , ,(,@f @r,116, 
go, __fish_use_subcommand, , ,build, ,117,compile packages and dependencies
go, __fish_use_subcommand, , ,clean, ,118,remove object files
go, __fish_use_subcommand, , ,doc, ,119,run godoc on package sources
go, __fish_use_subcommand, , ,env, ,120,print Go environment information
go, __fish_use_subcommand, , ,fix, ,123,run go tool fix on packages
go, __fish_use_subcommand, , ,fmt, ,124,run gofmt on package sources
go, __fish_use_subcommand, , ,get, ,125,download and install packages and dependencies
go, __fish_use_subcommand, , ,generate, ,126,Generate runs commands described by directives within existing files.
go, __fish_use_subcommand, , ,help, ,127,get help on topic
go, __fish_use_subcommand, , ,install, ,161,compile and install packages and dependencies
go, __fish_use_subcommand, , ,list, ,162,list packages
go, __fish_use_subcommand, , ,run, ,165,compile and run Go program
go, __fish_use_subcommand, , ,test, ,166,test packages
go, __fish_use_subcommand, , ,tool, ,168,run specified go tool
go, __fish_use_subcommand, , ,version,@f,170,print Go version
go, __fish_use_subcommand, , ,vet, ,172,vet packages
go, __fish_use_subcommand, , ,mod, ,173,module maintenance
