cmd,conds,short,long,params,dirs,pri,desc
hugo, __fish_hugo_using_main_like_command,b,baseURL, ,@r,108,Hostname and path to the root
hugo, __fish_hugo_using_main_like_command,B,buildDrafts, ,@f,109,Include content marked as draft
hugo, __fish_hugo_using_main_like_command,E,buildExpired, ,@f,110,Include expired content
hugo, __fish_hugo_using_main_like_command,F,buildFuture, ,@f,111,Include content with publishdate in the future
hugo, __fish_hugo_using_main_like_command, ,cacheDir, ,@D @f,112,Cache directory
hugo, __fish_hugo_using_main_like_command, ,canonifyURLs, ,@f,113,Canonicalize all relative URLs using baseurl
hugo, __fish_hugo_using_main_like_command, ,cleanDestinationDir, ,@f,114,Remove files from destination not found in static directories
hugo, __fish_hugo_using_main_like_command,c,contentDir, ,@D @f,115,Content directory
hugo, __fish_hugo_using_main_like_command,d,destination, ,@D @f,116,Destination directory
hugo, __fish_hugo_using_main_like_command, ,disable404, ,@f,117,Do not build 404 page
hugo, __fish_hugo_using_main_like_command, ,disableKinds, ,@r,118,Disable different kinds of pages
hugo, __fish_hugo_using_main_like_command, ,disableRSS, ,@f,119,Do not build RSS files
hugo, __fish_hugo_using_main_like_command, ,disableSitemap, ,@f,120,Do not build sitemap files
hugo, __fish_hugo_using_main_like_command, ,enableGitInfo, ,@f,121,"Add Git revision, date and author info to the pages"
hugo, __fish_hugo_using_main_like_command, ,forceSyncStatic, ,@f,122,Copy all files when static is changed
hugo, __fish_hugo_using_main_like_command,h,help, ,@f,123,Help for hugo
hugo, __fish_hugo_using_main_like_command, ,i18n-warnings, ,@f,124,Print missing translations
hugo, __fish_hugo_using_main_like_command, ,ignoreCache, ,@f,125,Ignore the cache directory
hugo, __fish_hugo_using_main_like_command,l,layoutDir, ,@D @f,126,Layout directory
hugo, __fish_hugo_using_main_like_command, ,noChmod, ,@f,127,Do not sync permission mode of files
hugo, __fish_hugo_using_main_like_command, ,noTimes, ,@f,128,Do not sync modification time of files
hugo, __fish_hugo_using_main_like_command, ,pluralizeListTitles, ,@f,129,Pluralize titles in lists using inflect
hugo, __fish_hugo_using_main_like_command, ,preserveTaxonomyNames, ,@f,130,Preserve taxonomy names as written
hugo, __fish_hugo_using_main_like_command, ,renderToMemory, ,@f,131,Render to memory
hugo, __fish_hugo_using_main_like_command,s,source, ,@D @f,132,Source directory
hugo, __fish_hugo_using_main_like_command, ,stepAnalysis, ,@f,133,Display memory and timing of different steps of the program
hugo, __fish_hugo_using_main_like_command, ,templateMetrics, ,@f,134,Display metrics about template executions
hugo, __fish_hugo_using_main_like_command, ,templateMetricsHints, ,@f,135,Calculate some improvement hints when combined with --templateMetrics
hugo, __fish_hugo_using_main_like_command,t,theme, ,@r,136,Theme to use
hugo, __fish_hugo_using_main_like_command, ,themesDir, ,@D @f,137,Themes directory
hugo, __fish_hugo_using_main_like_command, ,uglyURLs, ,@f,138,Use /filename.html instead of /filename/
hugo, __fish_hugo_using_main_like_command,w,watch, ,@f,139,Watch filesystem for changes and recreate as needed
hugo, __fish_hugo_command, , ,benchmark,@f,140,Benchmark Hugo by building the site a number of times
hugo, __fish_hugo_using_command benchmark,n,count, ,@f,141,Number of times to build the site
hugo, __fish_hugo_using_command benchmark, ,cpuprofile, ,@r,142,CPU profile file
hugo, __fish_hugo_using_command benchmark,h,help, ,@f,143,Help for benchmark
hugo, __fish_hugo_using_command benchmark, ,memprofile, ,@r,144,Memory profile file
hugo, __fish_hugo_using_command benchmark, ,renderToMemory, ,@f,145,Render to memory
hugo, __fish_hugo_using_command benchmark, ,stepAnalysis, ,@f,146,Display memory and timing of different steps of the program
hugo, __fish_hugo_using_command benchmark, ,templateMetrics, ,@f,147,Display metrics about template executions
hugo, __fish_hugo_using_command benchmark, ,templateMetricsHints, ,@f,148,Calculate some improvement hints when combined with --templateMetrics
