cmd,conds,short,long,params,dirs,pri,desc
$sfdx_looking, , , ,commands, ,101,list all the commands
sfdx, __fish_sfdx_using_command commands,h,help, , ,102,show CLI help
sfdx, __fish_sfdx_using_command commands,j,json, , ,103,output in json format
sfdx, __fish_sfdx_using_command commands, ,hidden, , ,104,also show hidden commands
$sfdx_looking, , , ,force, ,105,tools for the Salesforce developer
sfdx, __fish_sfdx_using_command force, ,json, , ,106,format output as json
sfdx, __fish_sfdx_using_command force, ,loglevel,$sfdx_loglevels, ,107,[default: warn] logging level for this command invocation
$sfdx_looking, , , ,force:alias, ,108,manage username aliases
$sfdx_looking, , , ,force:alias:list, ,109,list username aliases for the Salesforce CLI
sfdx, __fish_sfdx_using_command force:alias:list, ,json, , ,110,format output as json
sfdx, __fish_sfdx_using_command force:alias:list, ,loglevel,$sfdx_loglevels, ,111,[default: warn] logging level for this command invocation
$sfdx_looking, , , ,force:alias:set, ,112,set username aliases for the Salesforce CLI
sfdx, __fish_sfdx_using_command force:alias:set, ,json, , ,113,format output as json
sfdx, __fish_sfdx_using_command force:alias:set, ,loglevel,$sfdx_loglevels, ,114,[default: warn] logging level for this command invocation
$sfdx_looking, , , ,force:apex, ,115,work with Apex code
$sfdx_looking, , , ,force:apex:execute, ,116,execute anonymous Apex code
sfdx, __fish_sfdx_using_command force:apex:execute,f,apexcodefile, , ,117,path to a local file containing Apex code
sfdx, __fish_sfdx_using_command force:apex:execute,u,targetusername, , ,118,"username or alias for the target org; overrides default target org"
sfdx, __fish_sfdx_using_command force:apex:execute, ,apiversion, , ,119,override the api version used for api requests made by this command
sfdx, __fish_sfdx_using_command force:apex:execute, ,json, , ,120,format output as json
sfdx, __fish_sfdx_using_command force:apex:execute, ,loglevel,$sfdx_loglevels, ,121,[default: warn] logging level for this command invocation
$sfdx_looking, , , ,force:apex:class, ,122,create an Apex class
$sfdx_looking, , , ,force:apex:class:create, ,123,create an Apex class
sfdx, __fish_sfdx_using_command force:apex:class:create,a,apiversion, , ,124,[default: 46.0] API version number
sfdx, __fish_sfdx_using_command force:apex:class:create,d,outputdir, , ,125,folder for saving the created files
sfdx, __fish_sfdx_using_command force:apex:class:create,n,classname, , ,126,(required) name of the generated Apex class
sfdx, __fish_sfdx_using_command force:apex:class:create,t,template,DefaultApexClass ApexException ApexUnitTest InboundEmailService, ,127,[default: DefaultApexClass] template to use for file creation
sfdx, __fish_sfdx_using_command force:apex:class:create, ,json, , ,128,format output as json
sfdx, __fish_sfdx_using_command force:apex:class:create, ,loglevel,$sfdx_loglevels, ,129,[default: warn] logging level for this command invocation
$sfdx_looking, , , ,force:apex:log, ,130,work with Apex logs
$sfdx_looking, , , ,force:apex:log:get, ,131,fetch the last debug log
