cmd,conds,short,long,params,dirs,pri,desc
uu-coreutils, __fish_uu_coreutils_needs_command,h,help, , ,101,Print help
uu-coreutils, __fish_uu_coreutils_needs_command, , ,arch,@f,102,arch-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,base32,@f,103,base32-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,base64,@f,104,base64-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,basename,@f,105,basename-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,basenc,@f,106,basenc-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,cat,@f,107,cat-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,chgrp,@f,108,chgrp-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,chmod,@f,109,chmod-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,chown,@f,110,chown-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,chroot,@f,111,chroot-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,cksum,@f,112,cksum-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,comm,@f,113,comm-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,cp,@f,114,cp-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,csplit,@f,115,csplit-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,cut,@f,116,cut-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,date,@f,117,date-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,dd,@f,118,dd-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,df,@f,119,df-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,dir,@f,120,ls-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,dircolors,@f,121,dircolors-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,dirname,@f,122,dirname-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,du,@f,123,du-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,echo,@f,124,echo-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,env,@f,125,env-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,expand,@f,126,expand-about
uu-coreutils, __fish_uu_coreutils_needs_command, , ,expr,@f,127,expr-about
