cmd,conds,short,long,params,dirs,pri,desc
uv, __fish_uv_needs_command, ,cache-dir, ,@r,101,Path to the cache directory
uv, __fish_uv_needs_command, ,python-preference,only-managed,@f @r,102, 
uv, __fish_uv_needs_command, ,python-fetch,automatic,@f @r,103,Deprecated version of [`Self::python_downloads`]
uv, __fish_uv_needs_command, ,color,auto,@f @r,104,Control the use of color in output
uv, __fish_uv_needs_command, ,allow-insecure-host, , ,105,Allow insecure connections to a host
uv, __fish_uv_needs_command, ,preview-features, , ,106,Enable experimental preview features
uv, __fish_uv_needs_command, ,directory, ,@r,107,Change to the given directory prior to running the command
uv, __fish_uv_needs_command, ,project, ,@r,108,Run the command within the given project directory
uv, __fish_uv_needs_command, ,config-file, ,@r,109,The path to a `uv.toml` file to use for configuration
uv, __fish_uv_needs_command,n,no-cache, , ,110,"Avoid reading from or writing to the cache, instead using a temporary directory for the duration of the operation"
uv, __fish_uv_needs_command, ,managed-python, , ,111,Require use of uv-managed Python versions
uv, __fish_uv_needs_command, ,no-managed-python, , ,112,Disable use of uv-managed Python versions
uv, __fish_uv_needs_command, ,allow-python-downloads, , ,113,Allow automatically downloading Python when required. [env: 'UV_PYTHON_DOWNLOADS=auto']
uv, __fish_uv_needs_command, ,no-python-downloads, , ,114,Disable automatic downloads of Python. [env: 'UV_PYTHON_DOWNLOADS=never']
uv, __fish_uv_needs_command,q,quiet, , ,115,Use quiet output
uv, __fish_uv_needs_command,v,verbose, , ,116,Use verbose output
uv, __fish_uv_needs_command, ,no-color, , ,117,Disable colors
uv, __fish_uv_needs_command, ,native-tls, , ,118,Whether to load TLS certificates from the platform's native certificate store
uv, __fish_uv_needs_command, ,no-native-tls, , ,119, 
uv, __fish_uv_needs_command, ,offline, , ,120,Disable network access
uv, __fish_uv_needs_command, ,no-offline, , ,121, 
uv, __fish_uv_needs_command, ,preview, , ,122,Whether to enable all experimental preview features
uv, __fish_uv_needs_command, ,no-preview, , ,123, 
uv, __fish_uv_needs_command, ,isolated, , ,124,Avoid discovering a `pyproject.toml` or `uv.toml` file
uv, __fish_uv_needs_command, ,show-settings, , ,125,Show the resolved settings for the current command
uv, __fish_uv_needs_command, ,no-progress, , ,126,Hide all progress outputs
uv, __fish_uv_needs_command, ,no-installer-metadata, , ,127,"Skip writing `uv` installer metadata files (e.g., `INSTALLER`, `REQUESTED`, and `direct_url.json`) to site-packages `.dist-info` directories"
uv, __fish_uv_needs_command, ,no-config, , ,128,"Avoid discovering configuration files (`pyproject.toml`, `uv.toml`)"
uv, __fish_uv_needs_command,h,help, , ,129,Display the concise help for this command
uv, __fish_uv_needs_command,V,version, , ,130,Display the uv version
uv, __fish_uv_needs_command, , ,auth,@f,131,Manage authentication
uv, __fish_uv_needs_command, , ,run,@f,132,Run a command or script
uv, __fish_uv_needs_command, , ,init,@f,133,Create a new project
uv, __fish_uv_needs_command, , ,add,@f,134,Add dependencies to the project
uv, __fish_uv_needs_command, , ,remove,@f,135,Remove dependencies from the project
uv, __fish_uv_needs_command, , ,version,@f,136,Read or update the project's version
uv, __fish_uv_needs_command, , ,sync,@f,137,Update the project's environment
uv, __fish_uv_needs_command, , ,lock,@f,138,Update the project's lockfile
uv, __fish_uv_needs_command, , ,export,@f,139,Export the project's lockfile to an alternate format
uv, __fish_uv_needs_command, , ,tree,@f,140,Display the project's dependency tree
uv, __fish_uv_needs_command, , ,format,@f,141,Format Python code in the project
uv, __fish_uv_needs_command, , ,tool,@f,142,Run and install commands provided by Python packages
uv, __fish_uv_needs_command, , ,python,@f,143,Manage Python versions and installations
uv, __fish_uv_needs_command, , ,pip,@f,144,Manage Python packages with a pip-compatible interface
uv, __fish_uv_needs_command, , ,venv,@f,145,Create a virtual environment
uv, __fish_uv_needs_command, , ,build,@f,146,Build Python packages into source distributions and wheels
uv, __fish_uv_needs_command, , ,publish,@f,147,Upload distributions to an index
uv, __fish_uv_needs_command, , ,workspace,@f,148,Inspect uv workspaces
uv, __fish_uv_needs_command, , ,build-backend,@f,149,The implementation of the build backend
uv, __fish_uv_needs_command, , ,cache,@f,150,Manage uv's cache
uv, __fish_uv_needs_command, , ,self,@f,151,Manage the uv executable
uv, __fish_uv_needs_command, , ,clean,@f,152,"Clear the cache, removing all entries or those linked to specific packages"
uv, __fish_uv_needs_command, , ,generate-shell-completion,@f,153,Generate shell completion
uv, __fish_uv_needs_command, , ,help,@f,154,Display documentation for a command
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,cache-dir, ,@r,154,Path to the cache directory
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,python-preference,only-managed,@f @r,154, 
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,python-fetch,automatic,@f @r,154,Deprecated version of [`Self::python_downloads`]
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,color,auto,@f @r,154,Control the use of color in output
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,allow-insecure-host, , ,154,Allow insecure connections to a host
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,preview-features, , ,154,Enable experimental preview features
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,directory, ,@r,154,Change to the given directory prior to running the command
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,project, ,@r,154,Run the command within the given project directory
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,config-file, ,@r,154,The path to a `uv.toml` file to use for configuration
uv," __fish_uv_using_subcommand auth; and login logout token dir",n,no-cache, , ,154,"Avoid reading from or writing to the cache, instead using a temporary directory for the duration of the operation"
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,managed-python, , ,154,Require use of uv-managed Python versions
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-managed-python, , ,154,Disable use of uv-managed Python versions
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,allow-python-downloads, , ,154,Allow automatically downloading Python when required. [env: 'UV_PYTHON_DOWNLOADS=auto']
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-python-downloads, , ,154,Disable automatic downloads of Python. [env: 'UV_PYTHON_DOWNLOADS=never']
uv," __fish_uv_using_subcommand auth; and login logout token dir",q,quiet, , ,154,Use quiet output
uv," __fish_uv_using_subcommand auth; and login logout token dir",v,verbose, , ,154,Use verbose output
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-color, , ,154,Disable colors
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,native-tls, , ,154,Whether to load TLS certificates from the platform's native certificate store
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-native-tls, , ,154, 
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,offline, , ,154,Disable network access
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-offline, , ,154, 
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,preview, , ,154,Whether to enable all experimental preview features
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-preview, , ,154, 
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,isolated, , ,154,Avoid discovering a `pyproject.toml` or `uv.toml` file
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,show-settings, , ,154,Show the resolved settings for the current command
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-progress, , ,154,Hide all progress outputs
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-installer-metadata, , ,154,"Skip writing `uv` installer metadata files (e.g., `INSTALLER`, `REQUESTED`, and `direct_url.json`) to site-packages `.dist-info` directories"
uv," __fish_uv_using_subcommand auth; and login logout token dir", ,no-config, , ,154,"Avoid discovering configuration files (`pyproject.toml`, `uv.toml`)"
uv," __fish_uv_using_subcommand auth; and login logout token dir",h,help, , ,154,Display the concise help for this command
uv," __fish_uv_using_subcommand auth; and login logout token dir", , ,login,@f,154,Login to a service
uv," __fish_uv_using_subcommand auth; and login logout token dir", , ,logout,@f,154,Logout of a service
uv," __fish_uv_using_subcommand auth; and login logout token dir", , ,token,@f,154,Show the authentication token for a service
uv," __fish_uv_using_subcommand auth; and login logout token dir", , ,dir,@f,154,Show the path to the uv credentials directory
uv," __fish_uv_using_subcommand auth; and login",u,username, , ,155,The username to use for the service
uv," __fish_uv_using_subcommand auth; and login", ,password, , ,156,The password to use for the service
uv," __fish_uv_using_subcommand auth; and login",t,token, , ,157,The token to use for the service
uv," __fish_uv_using_subcommand auth; and login", ,keyring-provider,disabled,@f @r,158,The keyring provider to use for storage of credentials
uv," __fish_uv_using_subcommand auth; and login", ,cache-dir, ,@r,159,Path to the cache directory
uv," __fish_uv_using_subcommand auth; and login", ,python-preference,only-managed,@f @r,160, 
uv," __fish_uv_using_subcommand auth; and login", ,python-fetch,automatic,@f @r,161,Deprecated version of [`Self::python_downloads`]
uv," __fish_uv_using_subcommand auth; and login", ,color,auto,@f @r,162,Control the use of color in output
uv," __fish_uv_using_subcommand auth; and login", ,allow-insecure-host, , ,163,Allow insecure connections to a host
uv," __fish_uv_using_subcommand auth; and login", ,preview-features, , ,164,Enable experimental preview features
uv," __fish_uv_using_subcommand auth; and login", ,directory, ,@r,165,Change to the given directory prior to running the command
uv," __fish_uv_using_subcommand auth; and login", ,project, ,@r,166,Run the command within the given project directory
uv," __fish_uv_using_subcommand auth; and login", ,config-file, ,@r,167,The path to a `uv.toml` file to use for configuration
uv," __fish_uv_using_subcommand auth; and login",n,no-cache, , ,168,"Avoid reading from or writing to the cache, instead using a temporary directory for the duration of the operation"
uv," __fish_uv_using_subcommand auth; and login", ,managed-python, , ,169,Require use of uv-managed Python versions
uv," __fish_uv_using_subcommand auth; and login", ,no-managed-python, , ,170,Disable use of uv-managed Python versions
uv," __fish_uv_using_subcommand auth; and login", ,allow-python-downloads, , ,171,Allow automatically downloading Python when required. [env: 'UV_PYTHON_DOWNLOADS=auto']
uv," __fish_uv_using_subcommand auth; and login", ,no-python-downloads, , ,172,Disable automatic downloads of Python. [env: 'UV_PYTHON_DOWNLOADS=never']
uv," __fish_uv_using_subcommand auth; and login",q,quiet, , ,173,Use quiet output
uv," __fish_uv_using_subcommand auth; and login",v,verbose, , ,174,Use verbose output
uv," __fish_uv_using_subcommand auth; and login", ,no-color, , ,175,Disable colors
uv," __fish_uv_using_subcommand auth; and login", ,native-tls, , ,176,Whether to load TLS certificates from the platform's native certificate store
uv," __fish_uv_using_subcommand auth; and login", ,no-native-tls, , ,177, 
uv," __fish_uv_using_subcommand auth; and login", ,offline, , ,178,Disable network access
uv," __fish_uv_using_subcommand auth; and login", ,no-offline, , ,179, 
