cmd,conds,short,long,params,dirs,pri,desc
xargs, __fish_is_first_token,0,null, , ,101,"Terminate filenames with a \0 instead of whitespace, ignore quotes and backslash"
xargs, __fish_is_first_token,e,eof, , ,102,Set the end of file string to eof-str
xargs, __fish_is_first_token,E, , ,@f @r,103,Set the end of file string to eof-str
xargs, __fish_is_first_token, ,help, , ,104,Display help and exit
xargs, __fish_is_first_token,i,replace, , ,105,Replace replace-str in the initial arguments with names from standard input
xargs, __fish_is_first_token,I, , ,@f @r,106,Replace replace-str in the initial arguments with names from standard input
xargs, __fish_is_first_token,l,max-lines, , ,107,Use at most max-lines nonblank input lines per command line
xargs, __fish_is_first_token,L, , ,@f @r,108,Use at most max-lines nonblank input lines per command line
xargs, __fish_is_first_token,n,max-args, ,@f @r,109,Use at most max-args arguments per command line
xargs, __fish_is_first_token,p,interactive, , ,110,Prompt the user before running each command line
xargs, __fish_is_first_token,r,no-run-if-empty, , ,111,"If the standard input does not contain any nonblanks, do not run the command"
xargs, __fish_is_first_token,s,max-chars, ,@f @r,112,Use at most max-chars characters per command line
xargs, __fish_is_first_token,t,verbose, , ,113,Print the command line on the standard error output before executing it
xargs, __fish_is_first_token, ,version, , ,114,Display version and exit
xargs, __fish_is_first_token,x,exit, , ,115,Exit if the size is exceeded
xargs, __fish_is_first_token,P,max-procs, ,@f @r,116,Run up to max-procs processes at a time
