cmd,conds,short,long,params,dirs,pri,desc
zpool, __fish_zpool_needs_command,?, , ,@f,101,Display a help message
zpool, __fish_zpool_needs_command, , ,add,@f,102,Add new virtual devices to pool
zpool, __fish_zpool_needs_command, , ,attach,@f,103,Attach virtual device to a pool device
zpool, __fish_zpool_needs_command, , ,clear,@f,104,Clear devices errors in pool
zpool, __fish_zpool_needs_command, , ,create,@f,105,Create a new storage pool
zpool, __fish_zpool_needs_command, , ,destroy,@f,106,Destroy a storage pool
zpool, __fish_zpool_needs_command, , ,detach,@f,107,Detach virtual device from a mirroring pool
zpool, __fish_zpool_needs_command, , ,events,@f,108,Display pool event log
zpool, __fish_zpool_needs_command, , ,export,@f,109,Export a pool
zpool, __fish_zpool_needs_command, , ,get,@f,110,Get one or several pool properties
zpool, __fish_zpool_needs_command, , ,history,@f,111,Display pool command history
zpool, __fish_zpool_needs_command, , ,import,@f,112,"List importable pools, or import some"
zpool, __fish_zpool_needs_command, , ,iostat,@f,113,Display pool I/O stats
zpool, __fish_zpool_needs_command, , ,labelclear,@f,114,Remove ZFS label information from the specified device
zpool, __fish_zpool_needs_command, , ,list,@f,115,List pools with health status and space usage
zpool, __fish_zpool_needs_command, , ,offline,@f,116,Take the specified devices offline
zpool, __fish_zpool_needs_command, , ,online,@f,117,Bring the specified devices back online
zpool, __fish_zpool_needs_command, , ,reguid,@f,118,Reset pool GUID
zpool, __fish_zpool_needs_command, , ,remove,@f,119,Remove virtual devices from pool
zpool, __fish_zpool_needs_command, , ,reopen,@f,120,Reopen pool devices
zpool, __fish_zpool_needs_command, , ,replace,@f,121,Replace a pool virtual device
zpool, __fish_zpool_needs_command, , ,scrub,@f,122,Start or stop scrubbing
zpool, __fish_zpool_needs_command, , ,set,@f,123,Set a pool property
zpool, __fish_zpool_needs_command, , ,split,@f,124,Create a pool by splitting an existing mirror one
zpool, __fish_zpool_needs_command, , ,status,@f,125,Display detailed pool health status
zpool, __fish_zpool_needs_command, , ,upgrade,@f,126,"List upgradeable pools, or upgrade one"
zpool, __fish_zpool_using_command add,f, , ,@f,127,Force use of virtual device
zpool, __fish_zpool_using_command add,n, , ,@f,128,Dry run: only display resulting configuration
zpool, __fish_zpool_using_command add,g, , ,@f,129,Display virtual device GUID instead of device name
zpool, __fish_zpool_using_command add,L, , ,@f,130,Resolve device path symbolic links
zpool, __fish_zpool_using_command add,P, , ,@f,131,Display device full path
zpool, __fish_zpool_using_command add,o, , ,@f @r,132,Pool property
zpool," __fish_zpool_using_command add; and __fish_is_nth_token 2", , , ,@f @r,133,Pool to add virtual device(s) to
zpool," __fish_zpool_using_command add; and __fish_prev_arg_in add", , , ,@f @k @r,134,Virtual device to add
zpool, __fish_zpool_using_command attach,f, , ,@f,135,Force use of virtual device
zpool, __fish_zpool_using_command attach,o, , ,@f @r,136,Pool property
zpool," __fish_zpool_using_command attach; and __fish_is_nth_token 2", , , ,@f @r,137,Pool to attach virtual device to
zpool," __fish_zpool_using_command attach; and __fish_is_nth_token 3", , , ,@f @r,138,Existing pool device to attach to
zpool," __fish_zpool_using_command attach; and __fish_is_nth_token 4", , , ,@f @r,139,Device to be attached
zpool, __fish_zpool_using_command clear,F, , ,@f,140,Initiate recovery mode
zpool," __fish_zpool_using_command clear; and __fish_contains_opt -s F",n, , ,@f,141,"Dry run: only determine if the recovery is possible, without attempting it"
zpool, __fish_zpool_using_command clear, , , ,@f @r,142,Pool to clear errors on
zpool, __fish_zpool_using_command clear, , , ,@f,143,Virtual device to operate on
zpool, __fish_zpool_using_command create,B, , ,@f,144,Create whole disk pool with EFI System partition to support booting system with UEFI firmware
zpool, __fish_zpool_using_command create,f, , ,@f,145,Force use of virtual device
zpool, __fish_zpool_using_command create,n, , ,@f,146,"Dry run, only display resulting configuration"
zpool, __fish_zpool_using_command create,d, , ,@f,147,Do not enable any feature on the new pool
zpool, __fish_zpool_using_command create,o, , ,@f @r,148,Pool property
zpool, __fish_zpool_using_command create,O, , ,@f @r,149,Root filesystem property
zpool, __fish_zpool_using_command create,R, , ,@r,150,"Equivalent to '-o cachefile=none,altroot=ROOT'"
zpool, __fish_zpool_using_command create,m, ,legacy none,@f @r,151,Root filesystem mountpoint
zpool, __fish_zpool_using_command create,t, , ,@f @r,152,Set a different in-core pool name
zpool, __fish_zpool_using_command create, , , ,@f @r,153,Virtual device to add
