cmd,conds,short,long,params,dirs,pri,desc
zypper, __fish_zypper_use_repo, , , ,@f,101,Repo
zypper, __fish_zypper_not_use_file, , , ,@f,102, 
zypper, __fish_zypper_no_subcommand, , ,help ?,@f,103,Print help
zypper, __fish_zypper_no_subcommand, , ,shell sh,@f,104,Accept multiple commands at once
zypper, __fish_zypper_no_subcommand, , ,repos lr,@f,105,List all defined repositories
zypper, __fish_zypper_no_subcommand, , ,addrepo ar,@f,106,Add a new repository
zypper, __fish_zypper_no_subcommand, , ,removerepo rr,@f,107,Remove specified repository
zypper, __fish_zypper_no_subcommand, , ,renamerepo nr,@f,108,Rename specified repository
zypper, __fish_zypper_no_subcommand, , ,modifyrepo mr,@f,109,Modify specified repository
zypper, __fish_zypper_no_subcommand, , ,refresh ref,@f,110,Refresh all repositories
zypper, __fish_zypper_no_subcommand, , ,clean cc,@f,111,Clean local caches
zypper, __fish_zypper_no_subcommand, , ,services ls,@f,112,List all defined services
zypper, __fish_zypper_no_subcommand, , ,addservice as,@f,113,Add a new service
zypper, __fish_zypper_no_subcommand, , ,modifyservice ms,@f,114,Modify specified service
zypper, __fish_zypper_no_subcommand, , ,removeservice rs,@f,115,Remove specified service
zypper, __fish_zypper_no_subcommand, , ,refresh-services refs,@f,116,Refresh all services
zypper, __fish_zypper_no_subcommand, , ,install in, ,117,Install packages
zypper, __fish_zypper_no_subcommand, , ,remove rm,@f,118,Remove packages
zypper, __fish_zypper_no_subcommand, , ,verify ve,@f,119,Verify integrity of package dependencies
zypper, __fish_zypper_no_subcommand, , ,source-install si,@f,120,Install source packages and their build dependencies
zypper, __fish_zypper_no_subcommand, , ,install-new-recommends inr,@f,121,Install newly added packages recommended by installed packages
zypper, __fish_zypper_no_subcommand, , ,update up,@f,122,Update installed packages with newer versions
zypper, __fish_zypper_no_subcommand, , ,list-updates lu,@f,123,List available updates
zypper, __fish_zypper_no_subcommand, , ,patch,@f,124,Install needed patches
zypper, __fish_zypper_no_subcommand, , ,list-patches lp,@f,125,List needed patches
zypper, __fish_zypper_no_subcommand, , ,dist-upgrade dup,@f,126,Perform a distribution upgrade
zypper, __fish_zypper_no_subcommand, , ,patch-check pchk,@f,127,Check for patches
zypper, __fish_zypper_no_subcommand, , ,search se,@f,128,Search for packages matching a pattern
zypper, __fish_zypper_no_subcommand, , ,info if,@f,129,Show full information for specified packages
zypper, __fish_zypper_no_subcommand, , ,patch-info,@f,130,Show full information for specified patches
zypper, __fish_zypper_no_subcommand, , ,pattern-info,@f,131,Show full information for specified patterns
zypper, __fish_zypper_no_subcommand, , ,product-info,@f,132,Show full information for specified products
zypper, __fish_zypper_no_subcommand, , ,patches pch,@f,133,List all available patches
zypper, __fish_zypper_no_subcommand, , ,packages pa,@f,134,List all available packages
zypper, __fish_zypper_no_subcommand, , ,patterns pt,@f,135,List all available patterns
